name,name_ar,sku,barcode,category,unit,supplier,cost_price,selling_price,quantity,min_stock,published
Al Rabie Orange Juice 1L,الربيع عصير برتقال 1L,BQ-0021-al-rabie-orange-juic,,Dairy & Eggs,L,,6.00,8.00,0,5,yes
Al Rabie Apple Juice 1L,الربيع عصير تفاح 1L,BQ-0022-al-rabie-apple-juice,,Dairy & Eggs,L,,6.00,8.00,0,5,yes
Al Rabie Mango Juice 1L,الربيع عصير مانجو 1L,BQ-0023-al-rabie-mango-juice,,Dairy & Eggs,L,,6.75,9.00,0,5,yes
Al Rabie Mixed Fruit Juice 1L,الربيع عصير فواكه مشكلة 1L,BQ-0024-al-rabie-mixed-fruit,,Dairy & Eggs,L,,6.38,8.50,0,5,yes
Al Rabie Tomato Paste 400g,الربيع معجون طماطم 400g,BQ-0025-al-rabie-tomato-past,,Dairy & Eggs,L,,3.75,5.00,0,5,yes
Saudia Fresh Milk 1L,سعودia حليب طازج 1L,BQ-0026-saudia-fresh-milk-1l,,Dairy & Eggs,L,,4.13,5.50,0,5,yes
Saudia Laban 1L,سعودia لبن 1L,BQ-0027-saudia-laban-1l,,Dairy & Eggs,L,,3.38,4.50,0,5,yes
Saudia Evaporated Milk 410g,سعودia حليب م evaporated 410g,BQ-0028-saudia-evaporated-mi,,Dairy & Eggs,L,,4.50,6.00,0,5,yes
Saudia Condensed Milk 397g,سعودia حليب م condensed 397g,BQ-0029-saudia-condensed-mil,,Dairy & Eggs,L,,5.25,7.00,0,5,yes
Aquafina Water 600ml,أكوafina مياه 600ml,BQ-0030-aquafina-water-600ml,,Beverages,bottle,,1.13,1.50,0,5,yes
Aquafina Water 1.5L,أكوafina مياه 1.5L,BQ-0031-aquafina-water-1-5l,,Beverages,bottle,,1.88,2.50,0,5,yes
Nova Water 330ml,nova مياه 330ml,BQ-0032-nova-water-330ml,,Beverages,bottle,,0.75,1.00,0,5,yes
Nova Water 600ml,nova مياه 600ml,BQ-0033-nova-water-600ml,,Beverages,bottle,,1.13,1.50,0,5,yes
Nova Water 1.5L,nova مياه 1.5L,BQ-0034-nova-water-1-5l,,Beverages,bottle,,1.50,2.00,0,5,yes
Nova Water 2.25L,nova مياه 2.25L,BQ-0035-nova-water-2-25l,,Beverages,bottle,,2.25,3.00,0,5,yes
Pepsi Cola 330ml,بيبسي كولا 330ml,BQ-0036-pepsi-cola-330ml,,Beverages,can,,1.88,2.50,0,5,yes
Pepsi Cola 2.25L,بيبسي كولا 2.25L,BQ-0037-pepsi-cola-2-25l,,Beverages,can,,6.00,8.00,0,5,yes
Pepsi Diet Cola 330ml,بيبسي دايت كولا 330ml,BQ-0038-pepsi-diet-cola-330m,,Beverages,can,,1.88,2.50,0,5,yes
Pepsi Mirinda Orange 330ml,بيبسي ميرندا برتقال 330ml,BQ-0039-pepsi-mirinda-orange,,Beverages,can,,1.88,2.50,0,5,yes
Pepsi 7UP 330ml,بيبسي سeven up 330ml,BQ-0040-pepsi-7up-330ml,,Beverages,can,,1.88,2.50,0,5,yes
Coca-Cola Cola 330ml,كوكا كولا كولا 330ml,BQ-0041-coca-cola-cola-330ml,,Beverages,can,,1.88,2.50,0,5,yes
Coca-Cola Cola Zero 330ml,كوكا كولا كولا زيرو 330ml,BQ-0042-coca-cola-cola-zero-,,Beverages,can,,1.88,2.50,0,5,yes
Coca-Cola Sprite 330ml,كوكا كولا سبرايت 330ml,BQ-0043-coca-cola-sprite-330,,Beverages,can,,1.88,2.50,0,5,yes
Coca-Cola Fanta Orange 330ml,كوكا كولا فانتا برتقال 330ml,BQ-0044-coca-cola-fanta-oran,,Beverages,can,,1.88,2.50,0,5,yes
Lipton Black Tea 100 bags,لipton شاي أسود 100 bags,BQ-0045-lipton-black-tea-100,,Beverages,box,,11.25,15.00,0,5,yes
Lipton Green Tea 25 bags,لipton شاي أخضر 25 bags,BQ-0046-lipton-green-tea-25-,,Beverages,box,,9.00,12.00,0,5,yes
Rabea Black Tea 100 bags,ربea شاي أسود 100 bags,BQ-0047-rabea-black-tea-100-,,Beverages,box,,9.00,12.00,0,5,yes
Rabea Green Tea 100 bags,ربea شاي أخضر 100 bags,BQ-0048-rabea-green-tea-100-,,Beverages,box,,10.50,14.00,0,5,yes
Nescafe Classic 200g,نسكafe كلاسيك 200g,BQ-0049-nescafe-classic-200g,,Beverages,jar,,26.25,35.00,0,5,yes
Nescafe Gold 200g,نسكafe جold 200g,BQ-0050-nescafe-gold-200g,,Beverages,jar,,41.25,55.00,0,5,yes
Nescafe 3in1 20 sachets,نسكafe ٣ في ١ 20 sachets,BQ-0051-nescafe-3in1-20-sach,,Beverages,jar,,13.50,18.00,0,5,yes
Al Ameed Arabic Coffee 250g,العمeed قهوة عربية 250g,BQ-0052-al-ameed-arabic-coff,,Beverages,pkt,,18.75,25.00,0,5,yes
Al Ameed Turkish Coffee 250g,العمeed قهوة تركية 250g,BQ-0053-al-ameed-turkish-cof,,Beverages,pkt,,16.50,22.00,0,5,yes
Al Ameed Cardamom Coffee 250g,العمeed قهوة بالهيل 250g,BQ-0054-al-ameed-cardamom-co,,Beverages,pkt,,21.00,28.00,0,5,yes
Red Bull Energy Drink 250ml,ريd Bull مشروب طاقة 250ml,BQ-0055-red-bull-energy-drin,,Beverages,can,,9.00,12.00,0,5,yes
Sting Energy Drink 250ml,ستing مشروب طاقة 250ml,BQ-0056-sting-energy-drink-2,,Beverages,can,,2.25,3.00,0,5,yes
Power Horse Energy Drink 250ml,باور هورس 250ml,BQ-0057-power-horse-energy-d,,Beverages,can,,3.75,5.00,0,5,yes
Capri Sun Orange 200ml,كapri sun برتقال 200ml,BQ-0058-capri-sun-orange-200,,Beverages,pcs,,1.50,2.00,0,5,yes
Suntop Juice Orange 125ml,صن تop برتقال 125ml,BQ-0059-suntop-juice-orange-,,Beverages,pcs,,1.13,1.50,0,5,yes
Suntop Juice Apple 125ml,صن تop تفاح 125ml,BQ-0060-suntop-juice-apple-1,,Beverages,pcs,,1.13,1.50,0,5,yes
Suntop Juice Mango 125ml,صن تop مانجو 125ml,BQ-0061-suntop-juice-mango-1,,Beverages,pcs,,1.13,1.50,0,5,yes
Rani Float Orange 240ml,رani فلوت برتقال 240ml,BQ-0062-rani-float-orange-24,,Beverages,can,,1.88,2.50,0,5,yes
Rani Float Mango 240ml,رani فلوت مانجو 240ml,BQ-0063-rani-float-mango-240,,Beverages,can,,1.88,2.50,0,5,yes
Barbican Apple 330ml,barbican تفاح 330ml,BQ-0064-barbican-apple-330ml,,Beverages,bottle,,2.25,3.00,0,5,yes
Barbican Pomegranate 330ml,barbican رمان 330ml,BQ-0065-barbican-pomegranate,,Beverages,bottle,,2.25,3.00,0,5,yes
Moussy Classic 330ml,moussy كلاسيك 330ml,BQ-0066-moussy-classic-330ml,,Beverages,bottle,,3.00,4.00,0,5,yes
Hollster Malt 330ml,hollster malt 330ml,BQ-0067-hollster-malt-330ml,,Beverages,can,,2.63,3.50,0,5,yes
Lays Classic Salted 43g,lays ملح كلاسيك 43g,BQ-0068-lays-classic-salted-,,Snacks & Confectionery,pkt,,2.25,3.00,0,5,yes
Lays Cheese 43g,lays جبن 43g,BQ-0069-lays-cheese-43g,,Snacks & Confectionery,pkt,,2.25,3.00,0,5,yes
Lays Ketchup 43g,lays كاتشup 43g,BQ-0070-lays-ketchup-43g,,Snacks & Confectionery,pkt,,2.25,3.00,0,5,yes
Lays Chili 43g,lays حار 43g,BQ-0071-lays-chili-43g,,Snacks & Confectionery,pkt,,2.25,3.00,0,5,yes
Lays Family Pack Classic 170g,lays عائلي كلاسيك 170g,BQ-0072-lays-family-pack-cla,,Snacks & Confectionery,pkt,,7.50,10.00,0,5,yes
Doritos Nacho Cheese 44g,doritos nacho cheese 44g,BQ-0073-doritos-nacho-cheese,,Snacks & Confectionery,pkt,,2.63,3.50,0,5,yes
Doritos Sweet Chili 44g,doritos sweet chili 44g,BQ-0074-doritos-sweet-chili-,,Snacks & Confectionery,pkt,,2.63,3.50,0,5,yes
Doritos Family Pack 180g,doritos عائلي 180g,BQ-0075-doritos-family-pack-,,Snacks & Confectionery,pkt,,9.00,12.00,0,5,yes
Cheetos Crunchy Cheese 35g,cheetos جبn crunchy 35g,BQ-0076-cheetos-crunchy-chee,,Snacks & Confectionery,pkt,,2.25,3.00,0,5,yes
Cheetos Flamin Hot 35g,cheetos flamin hot 35g,BQ-0077-cheetos-flamin-hot-3,,Snacks & Confectionery,pkt,,2.25,3.00,0,5,yes
Pringles Original 40g,pringles original 40g,BQ-0078-pringles-original-40,,Snacks & Confectionery,can,,3.75,5.00,0,5,yes
Pringles Sour Cream 40g,pringles sour cream 40g,BQ-0079-pringles-sour-cream-,,Snacks & Confectionery,can,,3.75,5.00,0,5,yes
Pringles BBQ 165g,pringles bbq 165g,BQ-0080-pringles-bbq-165g,,Snacks & Confectionery,can,,11.25,15.00,0,5,yes
Galaxy Milk Chocolate 42g,galaxy شokolat milk 42g,BQ-0081-galaxy-milk-chocolat,,Snacks & Confectionery,pcs,,2.63,3.50,0,5,yes
Galaxy Dark Chocolate 42g,galaxy شokolat dark 42g,BQ-0082-galaxy-dark-chocolat,,Snacks & Confectionery,pcs,,2.63,3.50,0,5,yes
Galaxy Smooth Milk Bar 110g,galaxy smooth milk 110g,BQ-0083-galaxy-smooth-milk-b,,Snacks & Confectionery,pcs,,6.00,8.00,0,5,yes
Cadbury Dairy Milk 45g,cadbury dairy milk 45g,BQ-0084-cadbury-dairy-milk-4,,Snacks & Confectionery,pcs,,2.63,3.50,0,5,yes
Cadbury Flake 32g,cadbury flake 32g,BQ-0085-cadbury-flake-32g,,Snacks & Confectionery,pcs,,2.25,3.00,0,5,yes
Cadbury Bournville 45g,cadbury bournville 45g,BQ-0086-cadbury-bournville-4,,Snacks & Confectionery,pcs,,3.00,4.00,0,5,yes
KitKat 4 Finger 41.5g,kitkat 4 fingers 41.5g,BQ-0087-kitkat-4-finger-41-5,,Snacks & Confectionery,pcs,,2.63,3.50,0,5,yes
KitKat Chunky 40g,kitkat chunky 40g,BQ-0088-kitkat-chunky-40g,,Snacks & Confectionery,pcs,,3.00,4.00,0,5,yes
Snickers Bar 50g,snickers bar 50g,BQ-0089-snickers-bar-50g,,Snacks & Confectionery,pcs,,2.63,3.50,0,5,yes
Snickers Mini Pack 180g,snickers mini 180g,BQ-0090-snickers-mini-pack-1,,Snacks & Confectionery,pcs,,9.00,12.00,0,5,yes
M&M Peanut 45g,m&m peanut 45g,BQ-0091-m-m-peanut-45g,,Snacks & Confectionery,pkt,,3.00,4.00,0,5,yes
M&M Chocolate 45g,m&m chocolate 45g,BQ-0092-m-m-chocolate-45g,,Snacks & Confectionery,pkt,,3.00,4.00,0,5,yes
Oreo Original 137g,oreo original 137g,BQ-0093-oreo-original-137g,,Snacks & Confectionery,pkt,,4.50,6.00,0,5,yes
Oreo Double Stuff 137g,oreo double stuff 137g,BQ-0094-oreo-double-stuff-13,,Snacks & Confectionery,pkt,,5.25,7.00,0,5,yes
Oreo Mini 55g,oreo mini 55g,BQ-0095-oreo-mini-55g,,Snacks & Confectionery,pkt,,2.63,3.50,0,5,yes
Tiffany Cream Biscuits 400g,tiffany بiscuits cream 400g,BQ-0096-tiffany-cream-biscui,,Snacks & Confectionery,pkt,,6.00,8.00,0,5,yes
Tiffany Marie Biscuits 400g,tiffany بiscuits marie 400g,BQ-0097-tiffany-marie-biscui,,Snacks & Confectionery,pkt,,5.25,7.00,0,5,yes
Tiffany Digestive 400g,tiffany digestive 400g,BQ-0098-tiffany-digestive-40,,Snacks & Confectionery,pkt,,6.75,9.00,0,5,yes
Ulker Hobby Chocolate 80g,ulker hobby 80g,BQ-0099-ulker-hobby-chocolat,,Snacks & Confectionery,pkt,,3.00,4.00,0,5,yes
Ulker Albeni 34g,ulker albeni 34g,BQ-0100-ulker-albeni-34g,,Snacks & Confectionery,pkt,,1.88,2.50,0,5,yes
Ulker Metro 36g,ulker metro 36g,BQ-0101-ulker-metro-36g,,Snacks & Confectionery,pkt,,1.88,2.50,0,5,yes
Halawa Plain 500g,حلawa سada 500g,BQ-0102-halawa-plain-500g,,Snacks & Confectionery,pkt,,9.00,12.00,0,5,yes
Halawa Chocolate 500g,حلawa شokolat 500g,BQ-0103-halawa-chocolate-500,,Snacks & Confectionery,pkt,,10.50,14.00,0,5,yes
Tahini 900g,طحينة 900g,BQ-0104-tahini-900g,,Snacks & Confectionery,jar,,13.50,18.00,0,5,yes
Peanuts Roasted 250g,فول سoudani 250g,BQ-0105-peanuts-roasted-250g,,Snacks & Confectionery,pkt,,6.00,8.00,0,5,yes
Cashews Roasted 250g,كaju 250g,BQ-0106-cashews-roasted-250g,,Snacks & Confectionery,pkt,,18.75,25.00,0,5,yes
Pistachios 250g,فستق 250g,BQ-0107-pistachios-250g,,Snacks & Confectionery,pkt,,26.25,35.00,0,5,yes
Almonds 250g,لوز 250g,BQ-0108-almonds-250g,,Snacks & Confectionery,pkt,,21.00,28.00,0,5,yes
Dates Ajwa 1kg,تمر عجوة 1kg,BQ-0109-dates-ajwa-1kg,,Snacks & Confectionery,pkt,,33.75,45.00,0,5,yes
Dates Sukkari 1kg,تمر سkkari 1kg,BQ-0110-dates-sukkari-1kg,,Snacks & Confectionery,pkt,,26.25,35.00,0,5,yes
Dates Khalas 1kg,تمر خلاص 1kg,BQ-0111-dates-khalas-1kg,,Snacks & Confectionery,pkt,,22.50,30.00,0,5,yes
Choco Balls 150g,كرات شokolat 150g,BQ-0112-choco-balls-150g,,Snacks & Confectionery,pkt,,3.75,5.00,0,5,yes
Popcorn Microwave 3 bags,فشار microwave 3 bags,BQ-0113-popcorn-microwave-3-,,Snacks & Confectionery,box,,6.00,8.00,0,5,yes
Sunflower Seeds 200g,لب sunflower 200g,BQ-0114-sunflower-seeds-200g,,Snacks & Confectionery,pkt,,3.75,5.00,0,5,yes
Pumpkin Seeds 200g,لب pumpkin 200g,BQ-0115-pumpkin-seeds-200g,,Snacks & Confectionery,pkt,,4.50,6.00,0,5,yes
Abu Kass Basmati Rice 5kg,abu kass أرز basmati 5kg,BQ-0116-abu-kass-basmati-ric,,Rice & Grains,sack,,33.75,45.00,0,5,yes
Abu Kass Basmati Rice 10kg,abu kass أرز basmati 10kg,BQ-0117-abu-kass-basmati-ric,,Rice & Grains,sack,,63.75,85.00,0,5,yes
Abu Kass Calrose Rice 5kg,abu kass أرز calrose 5kg,BQ-0118-abu-kass-calrose-ric,,Rice & Grains,sack,,26.25,35.00,0,5,yes
Sunwhite Basmati Rice 5kg,sunwhite أرز basmati 5kg,BQ-0119-sunwhite-basmati-ric,,Rice & Grains,sack,,31.50,42.00,0,5,yes
Sunwhite Basmati Rice 10kg,sunwhite أرز basmati 10kg,BQ-0120-sunwhite-basmati-ric,,Rice & Grains,sack,,60.00,80.00,0,5,yes
Al Alali All Purpose Flour 2kg,al alali دقيق 2kg,BQ-0121-al-alali-all-purpose,,Rice & Grains,pkt,,6.00,8.00,0,5,yes
Al Alali Self Rising Flour 2kg,al alali دقيق self rising 2kg,BQ-0122-al-alali-self-rising,,Rice & Grains,pkt,,6.75,9.00,0,5,yes
Al Alali Semolina 1kg,al alali semolina 1kg,BQ-0123-al-alali-semolina-1k,,Rice & Grains,pkt,,4.50,6.00,0,5,yes
Al Alali Corn Flour 400g,al alali corn flour 400g,BQ-0124-al-alali-corn-flour-,,Rice & Grains,pkt,,3.75,5.00,0,5,yes
Al Alali Baking Powder 100g,al alali baking powder 100g,BQ-0125-al-alali-baking-powd,,Rice & Grains,pkt,,3.00,4.00,0,5,yes
Al Alali Vanilla Powder 20g,al alali vanilla 20g,BQ-0126-al-alali-vanilla-pow,,Rice & Grains,pkt,,2.25,3.00,0,5,yes
Barilla Spaghetti 500g,barilla spaghetti 500g,BQ-0127-barilla-spaghetti-50,,Rice & Grains,pkt,,6.00,8.00,0,5,yes
Barilla Penne 500g,barilla penne 500g,BQ-0128-barilla-penne-500g,,Rice & Grains,pkt,,6.00,8.00,0,5,yes
Barilla Fusilli 500g,barilla fusilli 500g,BQ-0129-barilla-fusilli-500g,,Rice & Grains,pkt,,6.00,8.00,0,5,yes
Pasta Zara Spaghetti 400g,pasta zara spaghetti 400g,BQ-0130-pasta-zara-spaghetti,,Rice & Grains,pkt,,3.00,4.00,0,5,yes
Pasta Zara Macaroni 400g,pasta zara macaroni 400g,BQ-0131-pasta-zara-macaroni-,,Rice & Grains,pkt,,3.00,4.00,0,5,yes
Pasta Zara Penne 400g,pasta zara penne 400g,BQ-0132-pasta-zara-penne-400,,Rice & Grains,pkt,,3.00,4.00,0,5,yes
Pasta Zara Fusilli 400g,pasta zara fusilli 400g,BQ-0133-pasta-zara-fusilli-4,,Rice & Grains,pkt,,3.00,4.00,0,5,yes
Pasta Zara Lasagna 500g,pasta zara lasagna 500g,BQ-0134-pasta-zara-lasagna-5,,Rice & Grains,pkt,,5.25,7.00,0,5,yes
White Sugar 1kg,سugar أبيض 1kg,BQ-0135-white-sugar-1kg,,Rice & Grains,pkt,,3.00,4.00,0,5,yes
Brown Sugar 1kg,سugar بني 1kg,BQ-0136-brown-sugar-1kg,,Rice & Grains,pkt,,3.75,5.00,0,5,yes
Salt Fine 700g,ملح fine 700g,BQ-0137-salt-fine-700g,,Rice & Grains,pkt,,1.50,2.00,0,5,yes
Salt Coarse 700g,ملح coarse 700g,BQ-0138-salt-coarse-700g,,Rice & Grains,pkt,,1.50,2.00,0,5,yes
Lentils Red 1kg,عدس أحمر 1kg,BQ-0139-lentils-red-1kg,,Rice & Grains,pkt,,6.00,8.00,0,5,yes
Lentils Yellow 1kg,عدس أصفر 1kg,BQ-0140-lentils-yellow-1kg,,Rice & Grains,pkt,,5.25,7.00,0,5,yes
Chickpeas 1kg,حمص 1kg,BQ-0141-chickpeas-1kg,,Rice & Grains,pkt,,7.50,10.00,0,5,yes
White Beans 1kg,فاصولia بيضاء 1kg,BQ-0142-white-beans-1kg,,Rice & Grains,pkt,,9.00,12.00,0,5,yes
Freekeh 1kg,freekeh 1kg,BQ-0143-freekeh-1kg,,Rice & Grains,pkt,,11.25,15.00,0,5,yes
Bulgur Fine 1kg,bulgur fine 1kg,BQ-0144-bulgur-fine-1kg,,Rice & Grains,pkt,,6.00,8.00,0,5,yes
Bulgur Coarse 1kg,bulgur coarse 1kg,BQ-0145-bulgur-coarse-1kg,,Rice & Grains,pkt,,6.00,8.00,0,5,yes
Oats 500g,شofan 500g,BQ-0146-oats-500g,,Rice & Grains,pkt,,6.00,8.00,0,5,yes
Corn Flakes 500g,corn flakes 500g,BQ-0147-corn-flakes-500g,,Rice & Grains,box,,9.00,12.00,0,5,yes
Cereal Honey Loops 375g,cereal honey 375g,BQ-0148-cereal-honey-loops-3,,Rice & Grains,box,,11.25,15.00,0,5,yes
Cereal Choco Rings 375g,cereal choco 375g,BQ-0149-cereal-choco-rings-3,,Rice & Grains,box,,11.25,15.00,0,5,yes
Quaker Oats 500g,quaker oats 500g,BQ-0150-quaker-oats-500g,,Rice & Grains,pkt,,10.50,14.00,0,5,yes
Couscous 1kg,couscous 1kg,BQ-0151-couscous-1kg,,Rice & Grains,pkt,,9.00,12.00,0,5,yes
Vermicelli 400g,vermicelli 400g,BQ-0152-vermicelli-400g,,Rice & Grains,pkt,,3.00,4.00,0,5,yes
Orzo 400g,orzo 400g,BQ-0153-orzo-400g,,Rice & Grains,pkt,,3.75,5.00,0,5,yes
Afia Sunflower Oil 1.5L,afia زيت sunflower 1.5L,BQ-0154-afia-sunflower-oil-1,,Oils & Ghee,L,,13.50,18.00,0,5,yes
Afia Sunflower Oil 2L,afia زيت sunflower 2L,BQ-0155-afia-sunflower-oil-2,,Oils & Ghee,L,,16.50,22.00,0,5,yes
Afia Corn Oil 1.5L,afia زيت corn 1.5L,BQ-0156-afia-corn-oil-1-5l,,Oils & Ghee,L,,15.00,20.00,0,5,yes
Afia Olive Oil 500ml,afia زيت olive 500ml,BQ-0157-afia-olive-oil-500ml,,Oils & Ghee,L,,18.75,25.00,0,5,yes
Afia Olive Oil Extra Virgin 500ml,afia زيت olive extra 500ml,BQ-0158-afia-olive-oil-extra,,Oils & Ghee,L,,26.25,35.00,0,5,yes
Hayat Sunflower Oil 1.5L,hayat زيت sunflower 1.5L,BQ-0159-hayat-sunflower-oil-,,Oils & Ghee,L,,12.00,16.00,0,5,yes
Hayat Sunflower Oil 2L,hayat زيت sunflower 2L,BQ-0160-hayat-sunflower-oil-,,Oils & Ghee,L,,15.00,20.00,0,5,yes
Hayat Canola Oil 1.5L,hayat زيت canola 1.5L,BQ-0161-hayat-canola-oil-1-5,,Oils & Ghee,L,,13.50,18.00,0,5,yes
Al Osra Sunflower Oil 1.5L,al osra زيت sunflower 1.5L,BQ-0162-al-osra-sunflower-oi,,Oils & Ghee,L,,12.75,17.00,0,5,yes
Al Osra Corn Oil 1.5L,al osra زيت corn 1.5L,BQ-0163-al-osra-corn-oil-1-5,,Oils & Ghee,L,,14.25,19.00,0,5,yes
Safa Ghee 800g,safa سمن 800g,BQ-0164-safa-ghee-800g,,Oils & Ghee,L,,24.00,32.00,0,5,yes
Safa Ghee 1.6kg,safa سمن 1.6kg,BQ-0165-safa-ghee-1-6kg,,Oils & Ghee,L,,45.00,60.00,0,5,yes
Vegetable Ghee 1kg,سمن vegetable 1kg,BQ-0166-vegetable-ghee-1kg,,Oils & Ghee,pkt,,16.50,22.00,0,5,yes
Samna Baladi 800g,سمن baladi 800g,BQ-0167-samna-baladi-800g,,Oils & Ghee,jar,,21.00,28.00,0,5,yes
Sesame Oil 500ml,زيت sesame 500ml,BQ-0168-sesame-oil-500ml,,Oils & Ghee,bottle,,15.00,20.00,0,5,yes
Coconut Oil 500ml,زيت coconut 500ml,BQ-0169-coconut-oil-500ml,,Oils & Ghee,jar,,18.75,25.00,0,5,yes
Goody Tuna in Water 185g,goody تuna in water 185g,BQ-0170-goody-tuna-in-water-,,Canned & Preserved,can,,6.00,8.00,0,5,yes
Goody Tuna in Oil 185g,goody تuna in oil 185g,BQ-0171-goody-tuna-in-oil-18,,Canned & Preserved,can,,6.00,8.00,0,5,yes
Goody Tomato Paste 135g,goody معجون tomate 135g,BQ-0172-goody-tomato-paste-1,,Canned & Preserved,can,,2.25,3.00,0,5,yes
Goody Tomato Paste 400g,goody معجون tomate 400g,BQ-0173-goody-tomato-paste-4,,Canned & Preserved,can,,3.75,5.00,0,5,yes
Goody Peeled Tomatoes 400g,goody طماطم peeled 400g,BQ-0174-goody-peeled-tomatoe,,Canned & Preserved,can,,3.00,4.00,0,5,yes
Goody Chickpeas 400g,goody حمص canned 400g,BQ-0175-goody-chickpeas-400g,,Canned & Preserved,can,,3.00,4.00,0,5,yes
Goody White Beans 400g,goody فاصولia canned 400g,BQ-0176-goody-white-beans-40,,Canned & Preserved,can,,3.00,4.00,0,5,yes
Goody Sweet Corn 340g,goody ذرة sweet 340g,BQ-0177-goody-sweet-corn-340,,Canned & Preserved,can,,3.00,4.00,0,5,yes
Goody Mushrooms 400g,goody فطر 400g,BQ-0178-goody-mushrooms-400g,,Canned & Preserved,can,,4.50,6.00,0,5,yes
Goody Pickles Mixed 680g,goody مخلل mixed 680g,BQ-0179-goody-pickles-mixed-,,Canned & Preserved,can,,6.00,8.00,0,5,yes
Goody Olives Green 450g,goody زيتون green 450g,BQ-0180-goody-olives-green-4,,Canned & Preserved,can,,7.50,10.00,0,5,yes
Goody Olives Black 450g,goody زيتون black 450g,BQ-0181-goody-olives-black-4,,Canned & Preserved,can,,7.50,10.00,0,5,yes
California Garden Tuna Light 185g,california garden تuna light 185g,BQ-0182-california-garden-tu,,Canned & Preserved,can,,5.25,7.00,0,5,yes
California Garden Tomato Paste 400g,california garden معجون tomate 400g,BQ-0183-california-garden-to,,Canned & Preserved,can,,3.38,4.50,0,5,yes
California Garden Fava Beans 400g,california garden فول 400g,BQ-0184-california-garden-fa,,Canned & Preserved,can,,2.63,3.50,0,5,yes
California Garden Chickpeas 400g,california garden حمص 400g,BQ-0185-california-garden-ch,,Canned & Preserved,can,,2.63,3.50,0,5,yes
California Garden Peas 400g,california garden بازilla 400g,BQ-0186-california-garden-pe,,Canned & Preserved,can,,3.00,4.00,0,5,yes
California Garden Mixed Vegetables 400g,california garden خضار mixed 400g,BQ-0187-california-garden-mi,,Canned & Preserved,can,,3.00,4.00,0,5,yes
Heinz Ketchup 570g,heinz كاتchup 570g,BQ-0188-heinz-ketchup-570g,,Canned & Preserved,bottle,,9.00,12.00,0,5,yes
Heinz Ketchup 340g,heinz كاتchup 340g,BQ-0189-heinz-ketchup-340g,,Canned & Preserved,bottle,,6.00,8.00,0,5,yes
