name,name_ar,sku,barcode,category,unit,supplier,cost_price,selling_price,quantity,min_stock,published
Al Rabie 20Pack,ش.الربيع كركدية 20كيس,ITM-15482,,Beverages,pcs,,0.00,0.00,0,5,yes
Al Rabie 20Pack,ش.الربيع يانسون 20كيس,ITM-15483,,General,pcs,,0.00,0.00,0,5,yes
Al Rabie 20Pack,ش.الربيع زنجبيل 20كيس,ITM-15484,,General,pcs,,0.00,0.00,0,5,yes
Al Rabie 200g,ش.الربيع اكسبرس 200ج,ITM-09584,,General,g,,0.00,0.00,0,5,yes
Al Rabie Green 200g,ش.الربيع اخضر 200ج,ITM-09591,,General,g,,0.00,0.00,0,5,yes
Al Rabie 300g,ش.الربيع لون ذهبي 300ج,ITM-09593,,General,g,,0.00,0.00,0,5,yes
Al Rabie 400g,ش.الربيع اكسبرس 400 جم,ITM-09583,,General,g,,0.00,0.00,0,5,yes
Al Rabie Green 400g,ش.الربيع اخضر 400ج,ITM-09590,,General,g,,0.00,0.00,0,5,yes
Al Rabie Flavored 45g,ش.الربيع بطعم النعناع 45ج,ITM-09581,,General,g,,0.00,0.00,0,5,yes
Al Rabie Flavored 50g,ش.الربيع بطعم بلون ذهبي50 ج,ITM-09582,,General,g,,0.00,6.00,0,5,yes
Al Rabie 800g,ش.الربيع اوراق كاملة 800 جم,ITM-09587,,General,g,,0.00,0.00,0,5,yes
Al Rabie Saudia 380g,ف.الربيع الخلطة السعودية 380ج,ITM-02423,,General,g,,0.00,0.00,0,5,yes
Ulker /Biscuits Cola 33g,اولكر /بسكويت هالى سندويتش محشى بالمارشمالو والشوكولاتة 33ج,ITM-15853,,Beverages,g,,0.00,0.00,0,5,yes
0.5 Riyal,0.5 ريال,846,,General,pcs,,0.00,0.50,0,5,yes
0.50,0.50,847,,General,pcs,,0.00,0.50,0,5,yes
0.50 Riyal,0.50 ريال,845,,General,pcs,,0.00,0.50,0,5,yes
Trays Glass 0.7+0.74 PL13,صواني زجاج 0.7+0.74 PL13,ITM-07867,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Cooler Tiger B130AT 0.75L,ثلاجة تايجر وردي0.75لتر B130AT,ITM-08130,,Kitchen & Home,L,,0.00,0.00,0,5,yes
0.75 Riyal,0.75 ريال,848,,General,pcs,,0.00,0.75,0,5,yes
Peeler Peeler Steel 05464_1,قشارة موس استيل 05464_1,ITM-07911,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
05465_1 Peeler Steel Handle Wood,05465_1 قشارة استيل بيد خشبي,ITM-07910,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Corn Flakes +Can 1,كورن فليكس 1كيلو +علبة مجانية,ITM-12786,,Canned & Preserved,pcs,,0.00,0.00,0,5,yes
Toothbrush Medium +1,فرشاة أسنان أورالبى متوسطة 1 +1 مجانا,ITM-16670,,Personal Care,pcs,,0.00,0.00,0,5,yes
Nydw Bls Jm Khsm 1 1800g,نيدو 1 بلس 1800 جم 15%خصم,ITM-11561,,General,kg,,0.00,0.00,0,5,yes
Scented 2*1 +500 Strawberry 2x1L 500ml,بريل 1 لتر برائحة اليمون 2*1 لتر+500 ملي فراولة مجان,ITM-05446,,General,L,,0.00,0.00,0,5,yes
Syrylak Qmh 1kjm Khsm Ard Khas 1kg,سيريلاك قمح 1كجم خصم 20% عرض خاص,ITM-16007,,General,kg,,0.00,0.00,0,5,yes
Bwbnz Shwkw Byts 1kylw Mjana,بوبنز شوكو بيتس 1كيلو 33% مجانا,ITM-04942,,General,pcs,,0.00,0.00,0,5,yes
Bwbnz Shwkw Bambs 1kylw33 Mjana,بوبنز شوكو بامبس 1كيلو33% مجانا,ITM-17042,,General,pcs,,0.00,0.00,0,5,yes
Cooler 84032- 1L,ثلاجة 1 لتر باصرة84032- 19,ITM-13114,,Kitchen & Home,L,,0.00,0.00,0,5,yes
Apple 1L,ميرندا 1 لتر تفاح,152,,Fresh Produce,L,,0.00,5.50,0,5,yes
Chickpeas Salt 1 25g,ماجيكس رقم 1 نجمة حب دوار الشمس محمص ومملح 25 جم,ITM-13038,,Rice & Grains,g,,0.00,0.00,0,5,yes
Milk Kids 1 400g,نيدو 1 بلس حليب اطفال 400 جم,ITM-03761,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
Bebelac Milk 1,بيبيلاك 1 حليب للرضع 400,ITM-04973,,Dairy & Eggs,pcs,,0.00,0.00,0,5,yes
Milk Kids 1 400g,نوفالاك 1 حليب اطفال للرضع 400 جم,ITM-12513,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
Milk Kids 1 800g,نوفالاك 1 حليب اطفال للرضع 800 جم,ITM-12516,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
Milk Kids 1 900g,نيدو 1 بلس حليب اطفال 900 جم,ITM-03762,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
Milk Kids 1 900g,نيدو 1 بلس حليب اطفال 900 جم,ITM-15212,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
1 Riyal,1 ريال,844,,General,pcs,,0.00,1.00,0,5,yes
SIS Sugar 1kg,1كجم SIS سكر ناعم,ITM-04606,,Rice & Grains,kg,,0.00,0.00,0,5,yes
Pot STAR 1,قدر الرضوان 1(STAR),ITM-01649,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Green 1*10 1x10,ليفة اخضر 1*10,ITM-14540,,General,pcs,,0.00,0.00,0,5,yes
1*12*20 1x12 20g,كوفي سحلب اكواب 1*12*20 جم,ITM-10516,,General,g,,0.00,0.00,0,5,yes
1*12*20 1x12 20g,كوفي مكس اكواب 1*12*20 جم,ITM-11482,,General,g,,0.00,0.00,0,5,yes
1*12*20 1x12 20g,كوفي كابتشينو اكواب 1*12*20 جم,ITM-11483,,General,g,,0.00,0.00,0,5,yes
Extension Cord 1*3 1x3,توصيلة صوت 1*3,ITM-06126,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Fine 1*350 1x350m,فاين جمبورول 1*350 متر,ITM-06023,,General,pcs,,0.00,0.00,0,5,yes
Colored 1*5 1x5,ليفة ملون 1*5,ITM-14539,,General,pcs,,0.00,0.00,0,5,yes
Diapers Sanita Pampers 1*52 1x52,حفاضات سانيتا بامبي 1*52,ITM-08617,,Personal Care,pcs,,0.00,0.00,0,5,yes
1*6 1x6,طقم طاسات 1*6,ITM-02590,,General,pcs,,0.00,0.00,0,5,yes
1+ *375 1 1x375g,قراميش شابورة القمح الكامل 1+ 1 *375 ج بسعر خاص,ITM-17837,,General,g,,0.00,0.00,0,5,yes
Maamoul1+1,فوشية المعمول1+1,ITM-05508,,Snacks & Confectionery,pcs,,0.00,0.00,0,5,yes
Deodorant 1+1,مزيل عرق رول فارمس 1+1 مجان,ITM-11655,,Personal Care,pcs,,0.00,0.00,0,5,yes
Medium 1+1,فرش اسنان وسط 1+1,ITM-16352,,General,pcs,,0.00,0.00,0,5,yes
Pots 1+6,قدور صلطة 1+6حبات,ITM-06618,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
EK-14 1.5L,غلاية الفارس 1.5لتر EK-14,ITM-08561,,General,L,,0.00,0.00,0,5,yes
Can 1.5lt*50oz 1.5L,علبة اطعمة مستطيلة 1.5lt*50oz,ITM-06480,,General,L,,0.00,0.00,0,5,yes
1.OLCooler,1.OLثلاجة فكوم توب,ITM-13106,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
1 10 1kg,رز باب الهند10كغ+1ك مجانا,ITM-12569,,General,kg,,0.00,0.00,0,5,yes
Medium 2+1 10,كلوب حجم وسط 10 جالون 2+1,ITM-17151,,General,pcs,,0.00,0.00,0,5,yes
Chicken 10,10 نقانق دجاج,ITM-18316,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 10 340g,10نقانق دجاج الوليمة 340ج,ITM-11820,,Meat & Poultry,g,,0.00,0.00,0,5,yes
10 Riyal,10 ريال,856,,General,pcs,,0.00,10.00,0,5,yes
10*10 10x10g,كا بتشينوكلاسيك10*10ج,ITM-01231,,General,g,,0.00,0.00,0,5,yes
10*12.5 10x12.5g,كابتشينو الفانيليا10*12.5ج,ITM-01232,,General,g,,0.00,0.00,0,5,yes
10*12.5 10x12.5g,نيسكفي كابو تشينو 10*12.5ج,ITM-03806,,General,g,,0.00,0.00,0,5,yes
10*14 10x14g,كافي تروبكيانا 10*14 ج,ITM-09495,,General,g,,0.00,0.00,0,5,yes
10*16 10x16g,سيوتيز بنكهة الفانيلا 10*16ج,ITM-02948,,General,g,,0.00,0.00,0,5,yes
10*18 10x18g,نيسكفي لاتي10*18ج,ITM-03803,,General,g,,0.00,0.00,0,5,yes
10*85 10x85,سفر اكل العقيد جمبو 10*85,ITM-07596,,General,pcs,,0.00,0.00,0,5,yes
Large10+3,شراع اكياس نفايا كبير10+3,ITM-14830,,General,pcs,,0.00,0.00,0,5,yes
100 100x100,سفر اكل موج 100 *100 سم,ITM-07586,,General,pcs,,0.00,0.00,0,5,yes
110 100x110,مفارش سفرة اقتصادية 100 *110سم,ITM-15381,,General,pcs,,0.00,0.00,0,5,yes
100Pcs 100*85 100pcs 100x85,المها سفر 100حبة مخرمة المقاس 100*85سم,ITM-13013,,General,pcs,,0.00,0.00,0,5,yes
6+1 100,كلينكس 100 منديل6+1,ITM-14367,,General,pcs,,0.00,0.00,0,5,yes
Eggs 100,سوفتي 100 منديل ابيض مزدوج,ITM-04762,,Dairy & Eggs,pcs,,0.00,0.00,0,5,yes
Paper 100,دفتر عربى مجلد 100 ورقة,ITM-16720,,Personal Care,pcs,,0.00,0.00,0,5,yes
Scrubber Paper 100,دفتر سلك اونو عربى 100 ورقة,ITM-17041,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Table Cover 100,مفارش سفرة 100 مفرش,ITM-16611,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
100*11 100x11g,حلوة مصاص بالعلكا ميكسيتا100*11ج,ITM-03163,,General,g,,0.00,0.00,0,5,yes
100*110 100x110,سفر اكل فور يو 100*110سم,ITM-07597,,General,pcs,,0.00,0.00,0,5,yes
100*110 100x110,المها سفرة مقاس 100*110سم,ITM-10584,,General,pcs,,0.00,0.00,0,5,yes
100*110 100x110,مفارش سفر مقاس 100*110سم,ITM-11850,,General,pcs,,0.00,0.00,0,5,yes
100*110 100x110,مفارش سفرة مقاس 100*110سم,ITM-11851,,General,pcs,,0.00,0.00,0,5,yes
100*110 100x110,الرافدين مفارش سفرة الاصلي 100*110سم,ITM-13724,,General,pcs,,0.00,0.00,0,5,yes
100*110 100x110,مفارش سفرة ركن المهاء 100*110,ITM-13935,,General,pcs,,0.00,0.00,0,5,yes
100*110 100x110,مفارش سفرة جمبو بريستيج 100*110سم,ITM-15511,,General,pcs,,0.00,0.00,0,5,yes
100*110 100x110,سفر اكل 100*110 سم 5 حزم مخرمة,ITM-07582,,General,pcs,,0.00,0.00,0,5,yes
100*85 Colored 100x85ml,سفر انيقه100*85 ملون,ITM-02452,,General,ml,,0.00,0.00,0,5,yes
100*85 100x85,سفر الجمل 100*85سم,ITM-11980,,General,pcs,,0.00,0.00,0,5,yes
100-80,اوسرام شمعة 100-80 واط,471,,General,pcs,,0.00,15.00,0,5,yes
100-90,شمعة الماني 100-90واط,465,,General,pcs,,0.00,15.00,0,5,yes
ULKER Toffe Juice 1000g,1000جم ULKER Toffe حلوى لينة محشو بعصير الكرز,ITM-12524,,Beverages,kg,,0.00,0.00,0,5,yes
ULKER Toffe Juice Orange 1000g,1000جم ULKER Toffe حلوى لينة محشو بعصير البرتقال,ITM-12523,,Beverages,kg,,0.00,0.00,0,5,yes
ULKER Toffe Milk 1000g,1000جم ULKER Toffe حلوى لينة بالحليب,ITM-12528,,Dairy & Eggs,kg,,0.00,0.00,0,5,yes
ULKER Toffe Sauce Strawberry 1000g,1000جم ULKER Toffe حلوى لينة محشو بصلصة الفراولة,ITM-12525,,Canned & Preserved,kg,,0.00,0.00,0,5,yes
1000W Electric,1000W مفتاح كهربائي,ITM-13895,,Electronics,pcs,,0.00,0.00,0,5,yes
100Paper,دفاتر روكو ابو 100ورقة,ITM-09431,,General,pcs,,0.00,0.00,0,5,yes
Scrubber 100Paper,دفتر سلك 100ورقه,ITM-10348,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
100Paper,نصف درزن دفاتر 100ورقة,ITM-11860,,General,pcs,,0.00,0.00,0,5,yes
Scrubber 100Paper,دفتر سلك ابو100ورقه,ITM-14091,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
100Paper,دفاتر عربي عادي 100ورقة,ITM-14876,,General,pcs,,0.00,0.00,0,5,yes
Table Cover 100,تمة فور يو سفر 100 مفرش,ITM-02025,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Table Cover 100,مفارش سفر 100 مفرش,ITM-11825,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Table Cover 100,سفر اكل جمبو 100 مفرش مخرمة,ITM-17008,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Table Cover 5*1 100 5x1,امواج كندة مفارش سفرة 100 مفرش 5*1,ITM-13012,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Mndy Mzdwj 100,100 مندي مزدوج,ITM-12093,,General,pcs,,0.00,0.00,0,5,yes
101.6mmToothbrush,101.6mmفرشة بوية,ITM-13277,,Personal Care,pcs,,0.00,0.00,0,5,yes
SENSATIONS 105g,105جم SENSATIONS ايس كريم,ITM-14035,,Personal Care,g,,0.00,0.00,0,5,yes
Diapers 10Diapers,حفاضات أولويز الماسي عادي 10حفاض,ITM-04146,,Personal Care,pcs,,0.00,0.00,0,5,yes
Diapers Large 10Diapers,حفاضات أولويز الماسي كبير 10حفاض,ITM-04147,,Personal Care,pcs,,0.00,0.00,0,5,yes
10akwab Hla Mthlth Mbrwm,10اكواب حلى مثلث مبروم,ITM-11701,,General,pcs,,0.00,0.00,0,5,yes
Fine 10,10روال فاين للتنشيف,ITM-12058,,General,pcs,,0.00,0.00,0,5,yes
100 110x100,سفر اكل هلا 110 *100 سم,ITM-07581,,General,pcs,,0.00,0.00,0,5,yes
110*100 110x100,اكياس سفرة كبسة 110*100س,ITM-02980,,General,pcs,,0.00,0.00,0,5,yes
Colored 110*100 110x100,جنا مفارش سفرة ملونة 110*100سم,ITM-06842,,General,pcs,,0.00,0.00,0,5,yes
110*100 110x100,جنا مفارش سفرة 110*100سم,ITM-11835,,General,pcs,,0.00,0.00,0,5,yes
110*100 110x100,مفارش سفرة المها110*100سم,ITM-12054,,General,pcs,,0.00,0.00,0,5,yes
110*100 110x100,مفارش سفرة المها 110*100سم,ITM-16855,,General,pcs,,0.00,0.00,0,5,yes
110*140 110x140,سفرة اكل ابها110*140سم,ITM-07595,,General,pcs,,0.00,0.00,0,5,yes
110*58 110x58,سفرة جامبو 110*58,ITM-01514,,General,pcs,,0.00,0.00,0,5,yes
110*90 110x90,سفر ميمي جمبو 110*90سم,ITM-07593,,General,pcs,,0.00,0.00,0,5,yes
110*90 110x90,سفر اكل مصنع الجزيرة 110*90سم,ITM-09997,,General,pcs,,0.00,0.00,0,5,yes
110*95 110x95,مفارش الاصالة 110*95,ITM-13934,,General,pcs,,0.00,0.00,0,5,yes
Chicken 12,12 فرانكس دجاج,ITM-18317,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
12*102 12x102,باكت تانج 12*102 كيوي,ITM-05070,,General,pcs,,0.00,0.00,0,5,yes
12*102 12x102g,باكت تانج 12*102جرام تروبيكال كوكتل,ITM-05071,,General,g,,0.00,0.00,0,5,yes
12*102 12x102g,باكت تانج ليمون نعنع 12*102 جرام,ITM-05072,,General,g,,0.00,0.00,0,5,yes
12*102 12x102g,باكت تانج 12*102 جرام كيوي,ITM-09799,,General,g,,0.00,0.00,0,5,yes
12*20 12x20g,ياما بالكاكاو 12*20ج,ITM-02720,,General,g,,0.00,0.00,0,5,yes
Conditioner Green 12*20 12x20g,بلسم اخضر جاو 12*20ج,ITM-06375,,Personal Care,g,,0.00,0.00,0,5,yes
12*20 12x20g,فانيليا حلواني 12*20ج,ITM-10275,,General,g,,0.00,0.00,0,5,yes
12*25 12x25g,نول ليمون كاسترد12*25ج,ITM-02944,,General,g,,0.00,0.00,0,5,yes
12*50 12x50g,كريم كاراميل فوستر 12*50ج,ITM-10292,,Personal Care,g,,0.00,0.00,0,5,yes
12*70 12x70g,كريم كراميل رياض فود12*70ج,ITM-10297,,Personal Care,g,,0.00,0.00,0,5,yes
12*72 12x72g,بلفيتا كليجا مع الهيل12*72ج,ITM-01955,,Spices & Seasonings,g,,0.00,0.00,0,5,yes
12*72 12x72g,بلفيتا نخالة غنية بالالياف 12*72ج,ITM-01964,,General,g,,0.00,0.00,0,5,yes
12*85 12x85g,جلي زدني توت 12*85ج,ITM-01658,,Personal Care,g,,0.00,0.00,0,5,yes
12*85 12x85g,جلي زدني كرز 12*85جرام,ITM-01661,,Personal Care,g,,0.00,0.00,0,5,yes
12*85 12x85g,جيلي زدني كرز12*85ج,ITM-10299,,General,g,,0.00,0.00,0,5,yes
10+2 12.5,نسكافة كابوتشينو 12.5ج10+2 مجان,ITM-12592,,General,pcs,,0.00,0.00,0,5,yes
120 *120,موبي سفر اكل 120سم*120سم,ITM-16697,,General,pcs,,0.00,0.00,0,5,yes
120*120 120x120,جنا مفارش سفرة 120*120سم,ITM-04499,,General,pcs,,0.00,0.00,0,5,yes
120*120 120x120,سفرة جامبو 120*120سم,ITM-10585,,General,pcs,,0.00,0.00,0,5,yes
120*120 120x120,جامبو سفرة 120*120سم,ITM-15977,,General,pcs,,0.00,0.00,0,5,yes
1 125g,أنشانتر بودرة معطرة 125 ج 3 +1 مجانا,ITM-17371,,Personal Care,g,,0.00,0.00,0,5,yes
Energizing Fa Soap 125g,125جم energizing Fa صابون,ITM-00037,,Personal Care,g,,0.00,0.00,0,5,yes
Fa Soap 125g,125جم Fa صابون,ITM-03450,,Personal Care,g,,0.00,0.00,0,5,yes
Passion Fruit Fa Soap 125g,125جم passion fruit Fa صابون,ITM-02246,,Personal Care,g,,0.00,0.00,0,5,yes
Vitalizing Aqua Fa Soap 125g,125جم vitalizing aqua Fa صابون,ITM-00034,,Personal Care,g,,0.00,0.00,0,5,yes
Yoghut Aloe Vera Fa Soap 125g,125جم yoghut aloe vera Fa صابون,ITM-00038,,Personal Care,g,,0.00,0.00,0,5,yes
1275 *85,سفر اكل كلوب 1275س*85,ITM-08768,,General,pcs,,0.00,0.00,0,5,yes
12Knife,سكاكين صيني 12سكين,ITM-08559,,General,pcs,,0.00,0.00,0,5,yes
12kas Shfaf,12كاس شفاف,ITM-11700,,General,pcs,,0.00,0.00,0,5,yes
140*2 140x2m,بارشوت جولد عناية 140*2 م,ITM-09363,,General,pcs,,0.00,0.00,0,5,yes
140*2 140x2m,بارشوت جولد معالج 140*2 م,ITM-09364,,General,pcs,,0.00,0.00,0,5,yes
