name,name_ar,sku,barcode,category,unit,supplier,cost_price,selling_price,vat,quantity,min_stock,published
. 200 +,ش.لبتون 200خيط +ترمس مجانا,ITM-15229,,General,pcs,,0.00,0.00,default,0,5,yes
. Eggs 60,ش.ابيض صيني 60 ج,ITM-09649,,Dairy & Eggs,g,,0.00,0.00,default,0,5,yes
. Lays 2*225+105,ش.بنتليزر 2*225+105ج,ITM-09946,,Snacks & Confectionery,g,,0.00,0.00,default,0,5,yes
... Pistachio 454,...حلوى حلقوم تركي بالفستق 454ج,ITM-01766,,Snacks & Confectionery,g,,0.00,0.00,default,0,5,yes
..kasat Bwrmywly 3hbat Rqm 49900,..كاسات بورميولي 3حبات رقم 49900,ITM-08137,,General,pcs,,0.00,0.00,default,0,5,yes
..kasat Bwrmywly 3hbat Rqm 49920,..كاسات بورميولي 3حبات رقم 49920,ITM-08140,,General,pcs,,0.00,0.00,default,0,5,yes
.Al Rabie 1.2+180,ش.الربيع لون ذهبي 1.2+180ج,ITM-09588,,General,g,,0.00,0.00,default,0,5,yes
.Al Rabie 100,ش.الربيع اخضر طعم رائع 100كيس,ITM-09585,,General,pcs,,0.00,0.00,default,0,5,yes
.Al Rabie 100,ش.الربيع اكسبرس طعم سلس 100كيس,ITM-09586,,General,pcs,,0.00,18.00,default,0,5,yes
.Al Rabie 100+12,ش.الربيع اخضر بالنعناع 100+12كيس,ITM-09944,,General,pcs,,0.00,0.00,default,0,5,yes
.Al Rabie 20,ش.الربيع بابونج 20كيس,ITM-15481,,General,pcs,,0.00,0.00,default,0,5,yes
.Al Rabie 20,ش.الربيع كركدية 20كيس,ITM-15482,,Beverages,pcs,,0.00,0.00,default,0,5,yes
.Al Rabie 20,ش.الربيع يانسون 20كيس,ITM-15483,,General,pcs,,0.00,0.00,default,0,5,yes
.Al Rabie 20,ش.الربيع زنجبيل 20كيس,ITM-15484,,General,pcs,,0.00,0.00,default,0,5,yes
.Al Rabie 200,ش.الربيع اكسبرس 200ج,ITM-09584,,General,g,,0.00,0.00,default,0,5,yes
.Al Rabie 200,ش.الربيع اخضر 200ج,ITM-09591,,General,g,,0.00,0.00,default,0,5,yes
.Al Rabie 300,ش.الربيع لون ذهبي 300ج,ITM-09593,,General,g,,0.00,0.00,default,0,5,yes
.Al Rabie 400,ش.الربيع اكسبرس 400جم,ITM-09583,,General,g,,0.00,0.00,default,0,5,yes
.Al Rabie 400,ش.الربيع اخضر 400ج,ITM-09590,,General,g,,0.00,0.00,default,0,5,yes
.Al Rabie 45,ش.الربيع بطعم النعناع 45ج,ITM-09581,,General,g,,0.00,0.00,default,0,5,yes
.Al Rabie 50,ش.الربيع بطعم بلون ذهبي50 ج,ITM-09582,,General,g,,0.00,6.00,default,0,5,yes
.Al Rabie 800,ش.الربيع اوراق كاملة 800جم,ITM-09587,,General,g,,0.00,0.00,default,0,5,yes
.Al Rabie Saudia 380,ف.الربيع الخلطة السعودية 380ج,ITM-02423,,General,g,,0.00,0.00,default,0,5,yes
/Biscuits Cola 33,اولكر /بسكويت هالى سندويتش محشى بالمارشمالو والشوكولاتة 33ج,ITM-15853,,Beverages,g,,0.00,0.00,default,0,5,yes
0.5 Riyal,0.5 Riyal,846,,General,pcs,,0.00,0.50,default,0,5,yes
0.50,0.50,847,,General,pcs,,0.00,0.50,default,0,5,yes
0.50 Riyal,0.50 Riyal,845,,General,pcs,,0.00,0.50,default,0,5,yes
0.7+0.74 PL13,صواني زجاج 0.7+0.74 PL13,ITM-07867,,General,pcs,,0.00,0.00,default,0,5,yes
0.75 B130AT,ثلاجة تايجر وردي0.75لتر B130AT,ITM-08130,,General,L,,0.00,0.00,default,0,5,yes
0.75 Riyal,0.75 Riyal,848,,General,pcs,,0.00,0.75,default,0,5,yes
05464_1,قشارة موس استيل 05464_1,ITM-07911,,General,pcs,,0.00,0.00,default,0,5,yes
05465_1,05465_1 قشارة استيل بيد خشبي,ITM-07910,,General,pcs,,0.00,0.00,default,0,5,yes
1 +,كورن فليكس 1كيلو +علبة مجانية,ITM-12786,,General,pcs,,0.00,0.00,default,0,5,yes
1 +1,فرشاة أسنان أورالبى متوسطة 1 +1مجانا,ITM-16670,,General,pcs,,0.00,0.00,default,0,5,yes
1 1800 15%,نيدو 1 بلس 1800 جم 15%خصم,ITM-11561,,General,kg,,0.00,0.00,default,0,5,yes
1 2*1 +500 Strawberry,بريل 1 لتر برائحة اليمون 2*1 لتر+500 ملي فراولة مجان,ITM-05446,,General,L,,0.00,0.00,default,0,5,yes
1 20%,سيريلاك قمح 1كجم خصم 20% عرض خاص,ITM-16007,,General,kg,,0.00,0.00,default,0,5,yes
1 33%,بوبنز شوكو بيتس 1كيلو 33% مجانا,ITM-04942,,General,pcs,,0.00,0.00,default,0,5,yes
1 33%,بوبنز شوكو بامبس 1كيلو33% مجانا,ITM-17042,,General,pcs,,0.00,0.00,default,0,5,yes
1 84032- 19,ثلاجة 1 لتر باصرة84032- 19,ITM-13114,,General,L,,0.00,0.00,default,0,5,yes
1 Apple,ميرندا 1 لتر تفاح,152,,Fresh Produce,L,,0.00,5.50,default,0,5,yes
1 Chickpeas Salt 25,ماجيكس رقم 1 نجمة حب دوار الشمس محمص ومملح 25جم,ITM-13038,,Rice & Grains,g,,0.00,0.00,default,0,5,yes
1 Milk 400,نيدو 1 بلس حليب اطفال 400 جم,ITM-03761,,Dairy & Eggs,g,,0.00,0.00,default,0,5,yes
1 Milk 400,بيبيلاك 1 حليب للرضع 400,ITM-04973,,Dairy & Eggs,pcs,,0.00,0.00,default,0,5,yes
1 Milk 400,نوفالاك 1 حليب اطفال للرضع 400جم,ITM-12513,,Dairy & Eggs,g,,0.00,0.00,default,0,5,yes
1 Milk 800,نوفالاك 1 حليب اطفال للرضع 800جم,ITM-12516,,Dairy & Eggs,g,,0.00,0.00,default,0,5,yes
1 Milk 900,نيدو 1 بلس حليب اطفال 900 جم,ITM-03762,,Dairy & Eggs,g,,0.00,0.00,default,0,5,yes
1 Milk 900,نيدو 1 بلس حليب اطفال 900جم,ITM-15212,,Dairy & Eggs,g,,0.00,0.00,default,0,5,yes
1 Riyal,1 Riyal,844,,General,pcs,,0.00,1.00,default,0,5,yes
1 SIS Sugar,1كجم SIS سكر ناعم,ITM-04606,,Rice & Grains,kg,,0.00,0.00,default,0,5,yes
1(STAR),قدر الرضوان 1(STAR),ITM-01649,,General,pcs,,0.00,0.00,default,0,5,yes
1*10,ليفة اخضر 1*10,ITM-14540,,General,pcs,,0.00,0.00,default,0,5,yes
1*12*20,كوفي سحلب اكواب 1*12*20جم,ITM-10516,,General,g,,0.00,0.00,default,0,5,yes
1*12*20,كوفي مكس اكواب 1*12*20جم,ITM-11482,,General,g,,0.00,0.00,default,0,5,yes
1*12*20,كوفي كابتشينو اكواب 1*12*20جم,ITM-11483,,General,g,,0.00,0.00,default,0,5,yes
1*3,توصيلة صوت 1*3,ITM-06126,,General,pcs,,0.00,0.00,default,0,5,yes
1*350,فاين جمبورول 1*350متر,ITM-06023,,General,pcs,,0.00,0.00,default,0,5,yes
1*5,ليفة ملون 1*5,ITM-14539,,General,pcs,,0.00,0.00,default,0,5,yes
1*52,حفائض سانيتا بامبي 1*52,ITM-08617,,General,pcs,,0.00,0.00,default,0,5,yes
1*6,طقم طاسات 1*6,ITM-02590,,General,pcs,,0.00,0.00,default,0,5,yes
1+ 1 *375,قراميش شابورة القمح الكامل 1+ 1 *375 ج بسعر خاص,ITM-17837,,General,g,,0.00,0.00,default,0,5,yes
1+1,فوشية المعمول1+1,ITM-05508,,Snacks & Confectionery,pcs,,0.00,0.00,default,0,5,yes
1+1,مزيل عرق رول فارمس 1+1مجان,ITM-11655,,General,pcs,,0.00,0.00,default,0,5,yes
1+1,فرش اسنان وسط 1+1,ITM-16352,,General,pcs,,0.00,0.00,default,0,5,yes
1+6,قدور صلطة 1+6حبات,ITM-06618,,General,pcs,,0.00,0.00,default,0,5,yes
1.5 EK-14,غلاية الفارس 1.5لتر EK-14,ITM-08561,,General,L,,0.00,0.00,default,0,5,yes
1.5lt*50oz,علبة اطعمة مستطيلة 1.5lt*50oz,ITM-06480,,General,L,,0.00,0.00,default,0,5,yes
1.OL,1.OLثلاجة فكوم توب,ITM-13106,,General,pcs,,0.00,0.00,default,0,5,yes
10 +1,رز باب الهند10كغ+1ك مجانا,ITM-12569,,General,kg,,0.00,0.00,default,0,5,yes
10 2+1,كلوب حجم وسط 10 جالون 2+1,ITM-17151,,General,pcs,,0.00,0.00,default,0,5,yes
10 Chicken,10 نقانق دجاج,ITM-18316,,Meat & Poultry,pcs,,0.00,0.00,default,0,5,yes
10 Chicken 340,10نقانق دجاج الوليمة 340ج,ITM-11820,,Meat & Poultry,g,,0.00,0.00,default,0,5,yes
10 Riyal,10 Riyal,856,,General,pcs,,0.00,10.00,default,0,5,yes
10*10,كا بتشينوكلاسيك10*10ج,ITM-01231,,General,g,,0.00,0.00,default,0,5,yes
10*12.5,كابتشينو الفانيليا10*12.5ج,ITM-01232,,General,g,,0.00,0.00,default,0,5,yes
10*12.5,نيسكفي كابو تشينو 10*12.5ج,ITM-03806,,General,g,,0.00,0.00,default,0,5,yes
10*14,كافي تروبكيانا 10*14 ج,ITM-09495,,General,g,,0.00,0.00,default,0,5,yes
10*16,سيوتيز بنكهة الفانيلا 10*16ج,ITM-02948,,General,g,,0.00,0.00,default,0,5,yes
10*18,نيسكفي لاتي10*18ج,ITM-03803,,General,g,,0.00,0.00,default,0,5,yes
10*85,سفر اكل العقيد جمبو 10*85,ITM-07596,,General,pcs,,0.00,0.00,default,0,5,yes
10+3,شراع اكياس نفايا كبير10+3,ITM-14830,,General,pcs,,0.00,0.00,default,0,5,yes
100 *100,سفر اكل موج 100 *100 سم,ITM-07586,,General,pcs,,0.00,0.00,default,0,5,yes
100 *110,مفارش سفرة اقتصادية 100 *110سم,ITM-15381,,General,pcs,,0.00,0.00,default,0,5,yes
100 100*85,المها سفر 100حبة مخرمة المقاس 100*85سم,ITM-13013,,General,pcs,,0.00,0.00,default,0,5,yes
100 6+1,كلينكس 100 منديل6+1,ITM-14367,,General,pcs,,0.00,0.00,default,0,5,yes
100 Eggs,سوفتي 100منديل ابيض مزدوج,ITM-04762,,Dairy & Eggs,pcs,,0.00,0.00,default,0,5,yes
100 Paper,دفتر عربى مجلد 100 ورقة,ITM-16720,,Personal Care,pcs,,0.00,0.00,default,0,5,yes
100 Paper,دفتر سلك اونو عربى 100 ورقة,ITM-17041,,School & Stationery,pcs,,0.00,0.00,default,0,5,yes
100 Table Cover,مفارش سفرة 100 مفرش,ITM-16611,,General,pcs,,0.00,0.00,default,0,5,yes
100*11,حلوة مصاص بالعلكا ميكسيتا100*11ج,ITM-03163,,General,g,,0.00,0.00,default,0,5,yes
100*110,سفر اكل فور يو 100*110سم,ITM-07597,,General,pcs,,0.00,0.00,default,0,5,yes
100*110,المها سفرة مقاس 100*110سم,ITM-10584,,General,pcs,,0.00,0.00,default,0,5,yes
100*110,مفارش سفر مقاس 100*110سم,ITM-11850,,General,pcs,,0.00,0.00,default,0,5,yes
100*110,مفارش سفرة مقاس 100*110سم,ITM-11851,,General,pcs,,0.00,0.00,default,0,5,yes
100*110,الرافدين مفارش سفرة الاصلي 100*110سم,ITM-13724,,General,pcs,,0.00,0.00,default,0,5,yes
100*110,مفارش سفرة ركن المهاء 100*110,ITM-13935,,General,pcs,,0.00,0.00,default,0,5,yes
100*110,مفارش سفرة جمبو بريستيج 100*110سم,ITM-15511,,General,pcs,,0.00,0.00,default,0,5,yes
100*110 5,سفر اكل 100*110 سم 5 حزم مخرمة,ITM-07582,,General,pcs,,0.00,0.00,default,0,5,yes
100*85,سفر انيقه100*85 ملون,ITM-02452,,General,ml,,0.00,0.00,default,0,5,yes
100*85,سفر الجمل 100*85سم,ITM-11980,,General,pcs,,0.00,0.00,default,0,5,yes
100-80,اوسرام شمعة 100-80 واط,471,,General,pcs,,0.00,15.00,default,0,5,yes
100-90,شمعة الماني 100-90واط,465,,General,pcs,,0.00,15.00,default,0,5,yes
1000 ULKER Toffe Juice,1000جم ULKER Toffe حلوى لينة محشو بعصير الكرز,ITM-12524,,Beverages,kg,,0.00,0.00,default,0,5,yes
1000 ULKER Toffe Juice Orange,1000جم ULKER Toffe حلوى لينة محشو بعصير البرتقال,ITM-12523,,Beverages,kg,,0.00,0.00,default,0,5,yes
1000 ULKER Toffe Milk,1000جم ULKER Toffe حلوى لينة بالحليب,ITM-12528,,Dairy & Eggs,kg,,0.00,0.00,default,0,5,yes
1000 ULKER Toffe Sauce Strawberry,1000جم ULKER Toffe حلوى لينة محشو بصلصة الفراولة,ITM-12525,,Canned & Preserved,kg,,0.00,0.00,default,0,5,yes
1000W,1000W مفتاح كهربائي,ITM-13895,,General,pcs,,0.00,0.00,default,0,5,yes
100Paper,دفاتر روكو ابو 100ورقة,ITM-09431,,General,pcs,,0.00,0.00,default,0,5,yes
100Paper,دفتر سلك 100ورقه,ITM-10348,,School & Stationery,pcs,,0.00,0.00,default,0,5,yes
100Paper,نصف درزن دفاتر 100ورقة,ITM-11860,,General,pcs,,0.00,0.00,default,0,5,yes
100Paper,دفتر سلك ابو100ورقه,ITM-14091,,School & Stationery,pcs,,0.00,0.00,default,0,5,yes
100Paper,دفاتر عربي عادي 100ورقة,ITM-14876,,General,pcs,,0.00,0.00,default,0,5,yes
100Table Cover,تمة فور يو سفر 100مفرش,ITM-02025,,General,pcs,,0.00,0.00,default,0,5,yes
100Table Cover,مفارش سفر 100مفرش,ITM-11825,,General,pcs,,0.00,0.00,default,0,5,yes
100Table Cover,سفر اكل جمبو 100مفرش مخرمة,ITM-17008,,General,pcs,,0.00,0.00,default,0,5,yes
100Table Cover 5*1,امواج كندة مفارش سفرة 100مفرش 5*1,ITM-13012,,General,pcs,,0.00,0.00,default,0,5,yes
100mndy Mzdwj,100مندي مزدوج,ITM-12093,,General,pcs,,0.00,0.00,default,0,5,yes
101.6mmToothbrush,101.6mmفرشة بوية,ITM-13277,,Personal Care,pcs,,0.00,0.00,default,0,5,yes
105 SENSATIONS,105جم SENSATIONS ايس كريم,ITM-14035,,Personal Care,g,,0.00,0.00,default,0,5,yes
10Diapers,حفائض أولويز الماسي عادي 10حفاض,ITM-04146,,Personal Care,pcs,,0.00,0.00,default,0,5,yes
10Diapers,حفائض أولويز الماسي كبير 10حفاض,ITM-04147,,Personal Care,pcs,,0.00,0.00,default,0,5,yes
10akwab Hla Mthlth Mbrwm,10اكواب حلى مثلث مبروم,ITM-11701,,General,pcs,,0.00,0.00,default,0,5,yes
10rwal Fayn Lltnshyf,10روال فاين للتنشيف,ITM-12058,,General,pcs,,0.00,0.00,default,0,5,yes
110 *100,سفر اكل هلا 110 *100 سم,ITM-07581,,General,pcs,,0.00,0.00,default,0,5,yes
110*100,اكياس سفرة كبسة 110*100س,ITM-02980,,General,pcs,,0.00,0.00,default,0,5,yes
110*100,جنا مفارش سفرة ملونة 110*100سم,ITM-06842,,General,pcs,,0.00,0.00,default,0,5,yes
110*100,جنا مفارش سفرة 110*100سم,ITM-11835,,General,pcs,,0.00,0.00,default,0,5,yes
110*100,مفارش سفرة المها110*100سم,ITM-12054,,General,pcs,,0.00,0.00,default,0,5,yes
110*100,مفارش سفرة المها 110*100سم,ITM-16855,,General,pcs,,0.00,0.00,default,0,5,yes
110*140,سفرة اكل ابها110*140سم,ITM-07595,,General,pcs,,0.00,0.00,default,0,5,yes
110*58,سفرة جامبو 110*58,ITM-01514,,General,pcs,,0.00,0.00,default,0,5,yes
110*90,سفر ميمي جمبو 110*90سم,ITM-07593,,General,pcs,,0.00,0.00,default,0,5,yes
110*90,سفر اكل مصنع الجزيرة 110*90سم,ITM-09997,,General,pcs,,0.00,0.00,default,0,5,yes
110*95,مفارش الاصالة 110*95,ITM-13934,,General,pcs,,0.00,0.00,default,0,5,yes
12 Chicken,12 فرانكس دجاج,ITM-18317,,Meat & Poultry,pcs,,0.00,0.00,default,0,5,yes
12*102,باكت تانج 12*102 كيوي,ITM-05070,,General,pcs,,0.00,0.00,default,0,5,yes
12*102,باكت تانج 12*102جرام تروبيكال كوكتل,ITM-05071,,General,pcs,,0.00,0.00,default,0,5,yes
12*102,باكت تانج ليمون نعنع 12*102 جرام,ITM-05072,,General,pcs,,0.00,0.00,default,0,5,yes
12*102,باكت تانج 12*102 جرام كيوي,ITM-09799,,General,pcs,,0.00,0.00,default,0,5,yes
12*20,ياما بالكاكاو 12*20ج,ITM-02720,,General,g,,0.00,0.00,default,0,5,yes
12*20,بلسم اخضر جاو 12*20ج,ITM-06375,,Personal Care,g,,0.00,0.00,default,0,5,yes
12*20,فانيليا حلواني 12*20ج,ITM-10275,,General,g,,0.00,0.00,default,0,5,yes
12*25,نول ليمون كاسترد12*25ج,ITM-02944,,General,g,,0.00,0.00,default,0,5,yes
12*50,كريم كاراميل فوستر 12*50ج,ITM-10292,,Personal Care,g,,0.00,0.00,default,0,5,yes
12*70,كريم كراميل رياض فود12*70ج,ITM-10297,,Personal Care,g,,0.00,0.00,default,0,5,yes
12*72,بلفيتا كليجا مع الهيل12*72ج,ITM-01955,,Spices & Seasonings,g,,0.00,0.00,default,0,5,yes
12*72,بلفيتا نخالة غنية بالالياف 12*72ج,ITM-01964,,General,g,,0.00,0.00,default,0,5,yes
12*85,جلي زدني توت 12*85ج,ITM-01658,,Personal Care,g,,0.00,0.00,default,0,5,yes
12*85,جلي زدني كرز 12*85جرام,ITM-01661,,Personal Care,pcs,,0.00,0.00,default,0,5,yes
12*85,جيلي زدني كرز12*85ج,ITM-10299,,General,g,,0.00,0.00,default,0,5,yes
12.5 10+2,نسكافة كابوتشينو 12.5ج10+2مجان,ITM-12592,,General,pcs,,0.00,0.00,default,0,5,yes
120 *120,موبي سفر اكل 120سم*120سم,ITM-16697,,General,pcs,,0.00,0.00,default,0,5,yes
120*120,جنا مفارش سفرة 120*120سم,ITM-04499,,General,pcs,,0.00,0.00,default,0,5,yes
120*120,سفرة جامبو 120*120سم,ITM-10585,,General,pcs,,0.00,0.00,default,0,5,yes
120*120,جامبو سفرة 120*120سم,ITM-15977,,General,pcs,,0.00,0.00,default,0,5,yes
125 3 +1,أنشانتر بودرة معطرة 125 ج 3 +1 مجانا,ITM-17371,,Personal Care,g,,0.00,0.00,default,0,5,yes
125 Energizing Fa Soap,125جم energizing Fa صابون,ITM-00037,,Personal Care,g,,0.00,0.00,default,0,5,yes
125 Fa Soap,125جم Fa صابون,ITM-03450,,Personal Care,g,,0.00,0.00,default,0,5,yes
125 Passion Fruit Fa Soap,125جم passion fruit Fa صابون,ITM-02246,,Personal Care,g,,0.00,0.00,default,0,5,yes
125 Vitalizing Aqua Fa Soap,125جم vitalizing aqua Fa صابون,ITM-00034,,Personal Care,g,,0.00,0.00,default,0,5,yes
125 Yoghut Aloe Vera Fa Soap,125جم yoghut aloe vera Fa صابون,ITM-00038,,Personal Care,g,,0.00,0.00,default,0,5,yes
1275 *85,سفر اكل كلوب 1275س*85,ITM-08768,,General,pcs,,0.00,0.00,default,0,5,yes
12Knife,سكاكين صيني 12سكين,ITM-08559,,General,pcs,,0.00,0.00,default,0,5,yes
12kas Shfaf,12كاس شفاف,ITM-11700,,General,pcs,,0.00,0.00,default,0,5,yes
140*2,بارشوت جولد عناية 140*2م,ITM-09363,,General,pcs,,0.00,0.00,default,0,5,yes
140*2,بارشوت جولد معالج 140*2م,ITM-09364,,General,pcs,,0.00,0.00,default,0,5,yes
15% 1.8,مزيل البقع فانيش سائل خصم 15% 1.8لتر,ITM-06706,,General,L,,0.00,0.00,default,0,5,yes
15*55,اكياس نفايات سانيتا كلوب 15*55جالون,ITM-04047,,Household & Cleaning,pcs,,0.00,0.00,default,0,5,yes
150 10+2,فاين فلافي 150منديل10+2,ITM-16744,,General,pcs,,0.00,0.00,default,0,5,yes
150 CHANCE,150مل CHANCE امور مزيل عرق نسائى بخاخ,ITM-13377,,General,ml,,0.00,0.00,default,0,5,yes
150 SEY,150مل SEY امور مزيل عرق نسائى بخاخ,ITM-13376,,General,ml,,0.00,0.00,default,0,5,yes
1500 063_0023,مغراف 1500عماني 063_0023,ITM-07814,,General,pcs,,0.00,0.00,default,0,5,yes
1500W,1500W مفتاح كهربائي,ITM-13896,,General,pcs,,0.00,0.00,default,0,5,yes
1568 24+4,ساديا برجر بقري 1568غم 24+4,ITM-16660,,Meat & Poultry,pcs,,0.00,0.00,default,0,5,yes
15Table Cover,سفر اكل موج 15مفرش,ITM-12343,,General,pcs,,0.00,0.00,default,0,5,yes
16Pads,حفائض برايفت 16فوطة,ITM-08205,,Personal Care,pcs,,0.00,0.00,default,0,5,yes
17 28+4,بيك ون اصابع ويفر 17غم 28+4,ITM-04976,,Snacks & Confectionery,pcs,,0.00,0.00,default,0,5,yes
17 Table Cover,هلا مفارش سفرة 17 مفرش,ITM-17914,,General,pcs,,0.00,0.00,default,0,5,yes
17*25,ملاس معدن سميك يد قصير 17*25,ITM-06517,,General,pcs,,0.00,0.00,default,0,5,yes
17+7 57,بونتئ 17+7 مجانا 57 جرام,ITM-18207,,General,pcs,,0.00,0.00,default,0,5,yes
18*1500,اكياس علاقي مقاس 18*1500,ITM-14444,,General,pcs,,0.00,0.00,default,0,5,yes
