name,name_ar,updated_en,sku,barcode,category,unit,supplier,cost_price,selling_price,quantity,min_stock,published
(3) 900,بيبيلاك رقم (3) 900جم,Bebelac 3 900g,ITM-13905,,General,g,,0.00,0.00,0,5,yes
(3)*13,بيبي فاين (3)*13حبة,Fine Baby *13Pcs 3 13pcs,ITM-17507,,General,pcs,,0.00,0.00,0,5,yes
(4(*63,سانتيا بامبي (4(*63ح بعد الخصم,Sanita Pampers *63 4 63pcs,ITM-06990,,General,pcs,,0.00,0.00,0,5,yes
(4) *30,بيبي فاين (4)كبير *30حبة,Fine Baby Large *30Pcs 4 30pcs,ITM-06886,,General,pcs,,0.00,0.00,0,5,yes
(4) *30 *Tissue,بيبي فاين (4)كبير *30حبة *مناديل فاين,Fine Baby Large *30Pcs *Tissue Fine 4 30pcs,ITM-08797,,Household & Cleaning,pcs,,0.00,0.00,0,5,yes
(4) *54,بيبي فاين (4)كبيرة*54حبة,Fine Baby Large *54Pcs 4 54pcs,ITM-06985,,General,pcs,,0.00,0.00,0,5,yes
(4)*12,بيبي فاين (4)*12حبة,Fine Baby *12Pcs 4 12pcs,ITM-17506,,General,pcs,,0.00,0.00,0,5,yes
(5) *54,سانتيا بامبي (5)كبيرة *54حبة,Sanita Pampers Large *54Pcs 5 54pcs,ITM-06986,,General,pcs,,0.00,0.00,0,5,yes
(5)*11,بيبي فاين (5)*11حبة,Fine Baby *11Pcs 5 11pcs,ITM-17505,,General,pcs,,0.00,0.00,0,5,yes
(5)*44,بيبي فاين (5)*44حبة,Fine Baby *44Pcs 5 44pcs,ITM-06993,,General,pcs,,0.00,0.00,0,5,yes
(5)*81,سانتيا بامبي (5)*81حبة بعد الخصم,Sanita Pampers *81Pcs 5 81pcs,ITM-06989,,General,pcs,,0.00,0.00,0,5,yes
(5)34Diapers,فائظ سانيتا بامبي (5)34حفاض,Sanita Pampers 34Diapers 5,ITM-03501,,Personal Care,pcs,,0.00,0.00,0,5,yes
(5)52,جفائظ بيبي جوي(5)52حفظ,Diapers 5,ITM-05423,,General,pcs,,0.00,0.00,0,5,yes
(6)19,حفائض بيبي جوي(6)19حفاظ,Diapers 6,ITM-05422,,General,pcs,,0.00,0.00,0,5,yes
*0.25,قدر السيف الذهبي*0.25لتر,Pot Al Saif *0.25 0.25L,ITM-06774,,General,L,,0.00,0.00,0,5,yes
*1.5,قدور معدنية *1.5لتر,Pots *1.5 1.5L,ITM-06771,,General,L,,0.00,0.00,0,5,yes
*10,حفائض بريمري كوليتي *10ح,Diapers *10 10pcs,ITM-06888,,General,pcs,,0.00,0.00,0,5,yes
*57,كعك الكاس الصغير سويتز *57 جم,Al Kas Small *57 57g,ITM-02395,,General,g,,0.00,1.00,0,5,yes
+Cleaner,كوينكس +منظف صحون الوطني,Cleaner,ITM-03840,,Household & Cleaning,pcs,,0.00,0.00,0,5,yes
+Shampoo 1180 *2,فلاش +شامبو السجاد مع العرض1180 ملي *2,Shampoo *2 1180ml,ITM-05223,,Personal Care,L,,0.00,0.00,0,5,yes
- 125,كرست كالسي-دنت 125مل,125ml,ITM-09577,,General,ml,,0.00,0.00,0,5,yes
- 140*3120,فور-يو مفارش سفرة 140*3120سم,140*3120 140x3120,ITM-00514,,General,pcs,,0.00,0.00,0,5,yes
- 17.5,لواكر-قاردنا بجوز الهند 17.5جم,17.5g,ITM-00352,,General,g,,0.00,0.00,0,5,yes
- 65,ايس كريم بوب -ويتش 65ج,65g,ITM-14174,,Personal Care,g,,0.00,0.00,0,5,yes
- 7UP 3,في - تو اسفنجة التنظيف 3 حبة,7UP 3pcs,ITM-05765,,Beverages,pcs,,0.00,0.00,0,5,yes
- Cheese 16,صن رنق -مقرمشات بطعم الجبن 16ج,Flavored Cheese 16g,ITM-03183,,Dairy & Eggs,g,,0.00,1.00,0,5,yes
- Cream Banana 24*20,ويفر خلق-جوفرويت بحشو كريمة الموز 24*20ج,Cream Banana 24*20 24x20g,ITM-03881,,Snacks & Confectionery,g,,0.00,0.00,0,5,yes
- Cream Chocolate 24*25,قارصا مينؤت -دريم نوجة بكريمة الشوكلاتة 24*25ج,Cream Chocolate 24*25 24x25g,ITM-08096,,Beverages,g,,0.00,0.00,0,5,yes
- Hazelnut 17.5,لواكر-قاردنا بندق 17.5جم,Hazelnut 17.5g,ITM-04773,,General,g,,0.00,0.00,0,5,yes
- Hazelnut 38,لواكر-جاردينا بالبندق 38جم,Hazelnut 38g,ITM-08860,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
- Onion,صن رنق-مقرمشات بطعم البصل,Flavored Onion,ITM-01547,,Fresh Produce,pcs,,0.00,0.00,0,5,yes
- Sauce 24*25,قارصا -كلاس كعكة الكاكاو بصلصة الكرز 24*25ج,Sauce 24*25 24x25g,ITM-08093,,Canned & Preserved,g,,0.00,0.00,0,5,yes
-Shampoo 600,دوف -شامبو العناية اليومية 600 مل,Shampoo 600ml,ITM-15576,,Personal Care,L,,0.00,0.00,0,5,yes
. 100*90,فور . يو سفرة عائلية 100*90سم,100*90 100x90,ITM-15010,,General,pcs,,0.00,0.00,0,5,yes
. 200 +,ش.لبتون 200خيط +ترمس مجانا,200,ITM-15229,,General,pcs,,0.00,0.00,0,5,yes
. Eggs 60,ش.ابيض صيني 60 ج,Eggs 60g,ITM-09649,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
. Lays 2*225+105,ش.بنتليزر 2*225+105ج,Lays 2*225+105 2x225 105g,ITM-09946,,Snacks & Confectionery,g,,0.00,0.00,0,5,yes
... Pistachio 454,...حلوى حلقوم تركي بالفستق 454ج,Pistachio 454g,ITM-01766,,Snacks & Confectionery,g,,0.00,0.00,0,5,yes
..kasat Bwrmywly 3hbat Rqm 49900,..كاسات بورميولي 3حبات رقم 49900,Kasat Bwrmywly 3hbat Rqm,ITM-08137,,General,pcs,,0.00,0.00,0,5,yes
..kasat Bwrmywly 3hbat Rqm 49920,..كاسات بورميولي 3حبات رقم 49920,Kasat Bwrmywly 3hbat Rqm,ITM-08140,,General,pcs,,0.00,0.00,0,5,yes
.Al Rabie 1.2+180,ش.الربيع لون ذهبي 1.2+180ج,Al Rabie 1.2+180 1.2 180g,ITM-09588,,General,g,,0.00,0.00,0,5,yes
.Al Rabie 100,ش.الربيع اخضر طعم رائع 100كيس,Al Rabie Green 100Pack,ITM-09585,,General,pcs,,0.00,0.00,0,5,yes
.Al Rabie 100,ش.الربيع اكسبرس طعم سلس 100كيس,Al Rabie 100Pack,ITM-09586,,General,pcs,,0.00,18.00,0,5,yes
.Al Rabie 100+12,ش.الربيع اخضر بالنعناع 100+12كيس,Al Rabie Green 100+12Pack,ITM-09944,,General,pcs,,0.00,0.00,0,5,yes
.Al Rabie 20,ش.الربيع بابونج 20كيس,Al Rabie 20Pack,ITM-15481,,General,pcs,,0.00,0.00,0,5,yes
.Al Rabie 20,ش.الربيع كركدية 20كيس,Al Rabie 20Pack,ITM-15482,,Beverages,pcs,,0.00,0.00,0,5,yes
.Al Rabie 20,ش.الربيع يانسون 20كيس,Al Rabie 20Pack,ITM-15483,,General,pcs,,0.00,0.00,0,5,yes
.Al Rabie 20,ش.الربيع زنجبيل 20كيس,Al Rabie 20Pack,ITM-15484,,General,pcs,,0.00,0.00,0,5,yes
.Al Rabie 200,ش.الربيع اكسبرس 200ج,Al Rabie 200g,ITM-09584,,General,g,,0.00,0.00,0,5,yes
.Al Rabie 200,ش.الربيع اخضر 200ج,Al Rabie Green 200g,ITM-09591,,General,g,,0.00,0.00,0,5,yes
.Al Rabie 300,ش.الربيع لون ذهبي 300ج,Al Rabie 300g,ITM-09593,,General,g,,0.00,0.00,0,5,yes
.Al Rabie 400,ش.الربيع اكسبرس 400جم,Al Rabie 400g,ITM-09583,,General,g,,0.00,0.00,0,5,yes
.Al Rabie 400,ش.الربيع اخضر 400ج,Al Rabie Green 400g,ITM-09590,,General,g,,0.00,0.00,0,5,yes
.Al Rabie 45,ش.الربيع بطعم النعناع 45ج,Al Rabie Flavored 45g,ITM-09581,,General,g,,0.00,0.00,0,5,yes
.Al Rabie 50,ش.الربيع بطعم بلون ذهبي50 ج,Al Rabie Flavored 50g,ITM-09582,,General,g,,0.00,6.00,0,5,yes
.Al Rabie 800,ش.الربيع اوراق كاملة 800جم,Al Rabie 800g,ITM-09587,,General,g,,0.00,0.00,0,5,yes
.Al Rabie Saudia 380,ف.الربيع الخلطة السعودية 380ج,Al Rabie Saudia 380g,ITM-02423,,General,g,,0.00,0.00,0,5,yes
/Biscuits Cola 33,اولكر /بسكويت هالى سندويتش محشى بالمارشمالو والشوكولاتة 33ج,Ulker /Biscuits Cola 33g,ITM-15853,,Beverages,g,,0.00,0.00,0,5,yes
0.5 Riyal,0.5 Riyal,0.5 Riyal,846,,General,pcs,,0.00,0.50,0,5,yes
0.50,0.50,0.50,847,,General,pcs,,0.00,0.50,0,5,yes
0.50 Riyal,0.50 Riyal,0.50 Riyal,845,,General,pcs,,0.00,0.50,0,5,yes
0.7+0.74 PL13,صواني زجاج 0.7+0.74 PL13,Trays Glass 0.7+0.74 PL13,ITM-07867,,General,pcs,,0.00,0.00,0,5,yes
0.75 B130AT,ثلاجة تايجر وردي0.75لتر B130AT,Cooler Tiger B130AT 0.75L,ITM-08130,,General,L,,0.00,0.00,0,5,yes
0.75 Riyal,0.75 Riyal,0.75 Riyal,848,,General,pcs,,0.00,0.75,0,5,yes
05464_1,قشارة موس استيل 05464_1,Peeler Peeler Steel 05464_1,ITM-07911,,General,pcs,,0.00,0.00,0,5,yes
05465_1,05465_1 قشارة استيل بيد خشبي,05465_1 Peeler Steel Handle Wood,ITM-07910,,General,pcs,,0.00,0.00,0,5,yes
1 +,كورن فليكس 1كيلو +علبة مجانية,Corn Flakes +Can 1,ITM-12786,,General,pcs,,0.00,0.00,0,5,yes
1 +1,فرشاة أسنان أورالبى متوسطة 1 +1مجانا,Toothbrush Medium +1,ITM-16670,,General,pcs,,0.00,0.00,0,5,yes
1 1800 15%,نيدو 1 بلس 1800 جم 15%خصم,Nydw Bls Jm Khsm 1 1800g,ITM-11561,,General,kg,,0.00,0.00,0,5,yes
1 2*1 +500 Strawberry,بريل 1 لتر برائحة اليمون 2*1 لتر+500 ملي فراولة مجان,Scented 2*1 +500 Strawberry 2x1L 500ml,ITM-05446,,General,L,,0.00,0.00,0,5,yes
1 20%,سيريلاك قمح 1كجم خصم 20% عرض خاص,Syrylak Qmh 1kjm Khsm Ard Khas 1kg,ITM-16007,,General,kg,,0.00,0.00,0,5,yes
1 33%,بوبنز شوكو بيتس 1كيلو 33% مجانا,Bwbnz Shwkw Byts 1kylw Mjana,ITM-04942,,General,pcs,,0.00,0.00,0,5,yes
1 33%,بوبنز شوكو بامبس 1كيلو33% مجانا,Bwbnz Shwkw Bambs 1kylw33 Mjana,ITM-17042,,General,pcs,,0.00,0.00,0,5,yes
1 84032- 19,ثلاجة 1 لتر باصرة84032- 19,Cooler 84032- 1L,ITM-13114,,General,L,,0.00,0.00,0,5,yes
1 Apple,ميرندا 1 لتر تفاح,Apple 1L,152,,Fresh Produce,L,,0.00,5.50,0,5,yes
1 Chickpeas Salt 25,ماجيكس رقم 1 نجمة حب دوار الشمس محمص ومملح 25جم,Chickpeas Salt 1 25g,ITM-13038,,Rice & Grains,g,,0.00,0.00,0,5,yes
1 Milk 400,نيدو 1 بلس حليب اطفال 400 جم,Milk Kids 1 400g,ITM-03761,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
1 Milk 400,بيبيلاك 1 حليب للرضع 400,Bebelac Milk 1,ITM-04973,,Dairy & Eggs,pcs,,0.00,0.00,0,5,yes
1 Milk 400,نوفالاك 1 حليب اطفال للرضع 400جم,Milk Kids 1 400g,ITM-12513,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
1 Milk 800,نوفالاك 1 حليب اطفال للرضع 800جم,Milk Kids 1 800g,ITM-12516,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
1 Milk 900,نيدو 1 بلس حليب اطفال 900 جم,Milk Kids 1 900g,ITM-03762,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
1 Milk 900,نيدو 1 بلس حليب اطفال 900جم,Milk Kids 1 900g,ITM-15212,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
1 Riyal,1 Riyal,1 Riyal,844,,General,pcs,,0.00,1.00,0,5,yes
1 SIS Sugar,1كجم SIS سكر ناعم,SIS Sugar 1kg,ITM-04606,,Rice & Grains,kg,,0.00,0.00,0,5,yes
1(STAR),قدر الرضوان 1(STAR),Pot STAR 1,ITM-01649,,General,pcs,,0.00,0.00,0,5,yes
1*10,ليفة اخضر 1*10,Green 1*10 1x10,ITM-14540,,General,pcs,,0.00,0.00,0,5,yes
1*12*20,كوفي سحلب اكواب 1*12*20جم,1*12*20 1x12 20g,ITM-10516,,General,g,,0.00,0.00,0,5,yes
1*12*20,كوفي مكس اكواب 1*12*20جم,1*12*20 1x12 20g,ITM-11482,,General,g,,0.00,0.00,0,5,yes
1*12*20,كوفي كابتشينو اكواب 1*12*20جم,1*12*20 1x12 20g,ITM-11483,,General,g,,0.00,0.00,0,5,yes
1*3,توصيلة صوت 1*3,Extension Cord 1*3 1x3,ITM-06126,,General,pcs,,0.00,0.00,0,5,yes
1*350,فاين جمبورول 1*350متر,Fine 1*350 1x350m,ITM-06023,,General,pcs,,0.00,0.00,0,5,yes
1*5,ليفة ملون 1*5,Colored 1*5 1x5,ITM-14539,,General,pcs,,0.00,0.00,0,5,yes
1*52,حفائض سانيتا بامبي 1*52,Diapers Sanita Pampers 1*52 1x52,ITM-08617,,General,pcs,,0.00,0.00,0,5,yes
1*6,طقم طاسات 1*6,1*6 1x6,ITM-02590,,General,pcs,,0.00,0.00,0,5,yes
1+ 1 *375,قراميش شابورة القمح الكامل 1+ 1 *375 ج بسعر خاص,1+ *375 1 1x375g,ITM-17837,,General,g,,0.00,0.00,0,5,yes
1+1,فوشية المعمول1+1,Maamoul1+1,ITM-05508,,Snacks & Confectionery,pcs,,0.00,0.00,0,5,yes
1+1,مزيل عرق رول فارمس 1+1مجان,Deodorant 1+1,ITM-11655,,General,pcs,,0.00,0.00,0,5,yes
1+1,فرش اسنان وسط 1+1,Medium 1+1,ITM-16352,,General,pcs,,0.00,0.00,0,5,yes
1+6,قدور صلطة 1+6حبات,Pots 1+6,ITM-06618,,General,pcs,,0.00,0.00,0,5,yes
1.5 EK-14,غلاية الفارس 1.5لتر EK-14,EK-14 1.5L,ITM-08561,,General,L,,0.00,0.00,0,5,yes
1.5lt*50oz,علبة اطعمة مستطيلة 1.5lt*50oz,Can 1.5lt*50oz 1.5L,ITM-06480,,General,L,,0.00,0.00,0,5,yes
1.OL,1.OLثلاجة فكوم توب,1.OLCooler,ITM-13106,,General,pcs,,0.00,0.00,0,5,yes
10 +1,رز باب الهند10كغ+1ك مجانا,1 10 1kg,ITM-12569,,General,kg,,0.00,0.00,0,5,yes
10 2+1,كلوب حجم وسط 10 جالون 2+1,Medium 2+1 10,ITM-17151,,General,pcs,,0.00,0.00,0,5,yes
10 Chicken,10 نقانق دجاج,Chicken 10,ITM-18316,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
10 Chicken 340,10نقانق دجاج الوليمة 340ج,Chicken 10 340g,ITM-11820,,Meat & Poultry,g,,0.00,0.00,0,5,yes
10 Riyal,10 Riyal,10 Riyal,856,,General,pcs,,0.00,10.00,0,5,yes
10*10,كا بتشينوكلاسيك10*10ج,10*10 10x10g,ITM-01231,,General,g,,0.00,0.00,0,5,yes
10*12.5,كابتشينو الفانيليا10*12.5ج,10*12.5 10x12.5g,ITM-01232,,General,g,,0.00,0.00,0,5,yes
10*12.5,نيسكفي كابو تشينو 10*12.5ج,10*12.5 10x12.5g,ITM-03806,,General,g,,0.00,0.00,0,5,yes
10*14,كافي تروبكيانا 10*14 ج,10*14 10x14g,ITM-09495,,General,g,,0.00,0.00,0,5,yes
10*16,سيوتيز بنكهة الفانيلا 10*16ج,10*16 10x16g,ITM-02948,,General,g,,0.00,0.00,0,5,yes
10*18,نيسكفي لاتي10*18ج,10*18 10x18g,ITM-03803,,General,g,,0.00,0.00,0,5,yes
10*85,سفر اكل العقيد جمبو 10*85,10*85 10x85,ITM-07596,,General,pcs,,0.00,0.00,0,5,yes
10+3,شراع اكياس نفايا كبير10+3,Large10+3,ITM-14830,,General,pcs,,0.00,0.00,0,5,yes
100 *100,سفر اكل موج 100 *100 سم,100 100x100,ITM-07586,,General,pcs,,0.00,0.00,0,5,yes
100 *110,مفارش سفرة اقتصادية 100 *110سم,110 100x110,ITM-15381,,General,pcs,,0.00,0.00,0,5,yes
100 100*85,المها سفر 100حبة مخرمة المقاس 100*85سم,100Pcs 100*85 100pcs 100x85,ITM-13013,,General,pcs,,0.00,0.00,0,5,yes
100 6+1,كلينكس 100 منديل6+1,6+1 100,ITM-14367,,General,pcs,,0.00,0.00,0,5,yes
100 Eggs,سوفتي 100منديل ابيض مزدوج,Eggs 100,ITM-04762,,Dairy & Eggs,pcs,,0.00,0.00,0,5,yes
100 Paper,دفتر عربى مجلد 100 ورقة,Paper 100,ITM-16720,,Personal Care,pcs,,0.00,0.00,0,5,yes
100 Paper,دفتر سلك اونو عربى 100 ورقة,Scrubber Paper 100,ITM-17041,,School & Stationery,pcs,,0.00,0.00,0,5,yes
100 Table Cover,مفارش سفرة 100 مفرش,Table Cover 100,ITM-16611,,General,pcs,,0.00,0.00,0,5,yes
100*11,حلوة مصاص بالعلكا ميكسيتا100*11ج,100*11 100x11g,ITM-03163,,General,g,,0.00,0.00,0,5,yes
100*110,سفر اكل فور يو 100*110سم,100*110 100x110,ITM-07597,,General,pcs,,0.00,0.00,0,5,yes
100*110,المها سفرة مقاس 100*110سم,100*110 100x110,ITM-10584,,General,pcs,,0.00,0.00,0,5,yes
100*110,مفارش سفر مقاس 100*110سم,100*110 100x110,ITM-11850,,General,pcs,,0.00,0.00,0,5,yes
100*110,مفارش سفرة مقاس 100*110سم,100*110 100x110,ITM-11851,,General,pcs,,0.00,0.00,0,5,yes
100*110,الرافدين مفارش سفرة الاصلي 100*110سم,100*110 100x110,ITM-13724,,General,pcs,,0.00,0.00,0,5,yes
100*110,مفارش سفرة ركن المهاء 100*110,100*110 100x110,ITM-13935,,General,pcs,,0.00,0.00,0,5,yes
100*110,مفارش سفرة جمبو بريستيج 100*110سم,100*110 100x110,ITM-15511,,General,pcs,,0.00,0.00,0,5,yes
100*110 5,سفر اكل 100*110 سم 5 حزم مخرمة,100*110 100x110,ITM-07582,,General,pcs,,0.00,0.00,0,5,yes
100*85,سفر انيقه100*85 ملون,100*85 Colored 100x85ml,ITM-02452,,General,ml,,0.00,0.00,0,5,yes
100*85,سفر الجمل 100*85سم,100*85 100x85,ITM-11980,,General,pcs,,0.00,0.00,0,5,yes
100-80,اوسرام شمعة 100-80 واط,100-80,471,,General,pcs,,0.00,15.00,0,5,yes
100-90,شمعة الماني 100-90واط,100-90,465,,General,pcs,,0.00,15.00,0,5,yes
1000 ULKER Toffe Juice,1000جم ULKER Toffe حلوى لينة محشو بعصير الكرز,ULKER Toffe Juice 1000g,ITM-12524,,Beverages,kg,,0.00,0.00,0,5,yes
1000 ULKER Toffe Juice Orange,1000جم ULKER Toffe حلوى لينة محشو بعصير البرتقال,ULKER Toffe Juice Orange 1000g,ITM-12523,,Beverages,kg,,0.00,0.00,0,5,yes
1000 ULKER Toffe Milk,1000جم ULKER Toffe حلوى لينة بالحليب,ULKER Toffe Milk 1000g,ITM-12528,,Dairy & Eggs,kg,,0.00,0.00,0,5,yes
1000 ULKER Toffe Sauce Strawberry,1000جم ULKER Toffe حلوى لينة محشو بصلصة الفراولة,ULKER Toffe Sauce Strawberry 1000g,ITM-12525,,Canned & Preserved,kg,,0.00,0.00,0,5,yes
1000W,1000W مفتاح كهربائي,1000W Electric,ITM-13895,,General,pcs,,0.00,0.00,0,5,yes
100Paper,دفاتر روكو ابو 100ورقة,100Paper,ITM-09431,,General,pcs,,0.00,0.00,0,5,yes
100Paper,دفتر سلك 100ورقه,Scrubber 100Paper,ITM-10348,,School & Stationery,pcs,,0.00,0.00,0,5,yes
100Paper,نصف درزن دفاتر 100ورقة,100Paper,ITM-11860,,General,pcs,,0.00,0.00,0,5,yes
100Paper,دفتر سلك ابو100ورقه,Scrubber 100Paper,ITM-14091,,School & Stationery,pcs,,0.00,0.00,0,5,yes
100Paper,دفاتر عربي عادي 100ورقة,100Paper,ITM-14876,,General,pcs,,0.00,0.00,0,5,yes
100Table Cover,تمة فور يو سفر 100مفرش,Table Cover 100,ITM-02025,,General,pcs,,0.00,0.00,0,5,yes
100Table Cover,مفارش سفر 100مفرش,Table Cover 100,ITM-11825,,General,pcs,,0.00,0.00,0,5,yes
100Table Cover,سفر اكل جمبو 100مفرش مخرمة,Table Cover 100,ITM-17008,,General,pcs,,0.00,0.00,0,5,yes
100Table Cover 5*1,امواج كندة مفارش سفرة 100مفرش 5*1,Table Cover 5*1 100 5x1,ITM-13012,,General,pcs,,0.00,0.00,0,5,yes
100mndy Mzdwj,100مندي مزدوج,Mndy Mzdwj 100,ITM-12093,,General,pcs,,0.00,0.00,0,5,yes
101.6mmToothbrush,101.6mmفرشة بوية,101.6mmToothbrush,ITM-13277,,Personal Care,pcs,,0.00,0.00,0,5,yes
105 SENSATIONS,105جم SENSATIONS ايس كريم,SENSATIONS 105g,ITM-14035,,Personal Care,g,,0.00,0.00,0,5,yes
10Diapers,حفائض أولويز الماسي عادي 10حفاض,Diapers 10Diapers,ITM-04146,,Personal Care,pcs,,0.00,0.00,0,5,yes
10Diapers,حفائض أولويز الماسي كبير 10حفاض,Diapers Large 10Diapers,ITM-04147,,Personal Care,pcs,,0.00,0.00,0,5,yes
10akwab Hla Mthlth Mbrwm,10اكواب حلى مثلث مبروم,10akwab Hla Mthlth Mbrwm,ITM-11701,,General,pcs,,0.00,0.00,0,5,yes
10rwal Fayn Lltnshyf,10روال فاين للتنشيف,Fine 10,ITM-12058,,General,pcs,,0.00,0.00,0,5,yes
110 *100,سفر اكل هلا 110 *100 سم,100 110x100,ITM-07581,,General,pcs,,0.00,0.00,0,5,yes
110*100,اكياس سفرة كبسة 110*100س,110*100 110x100,ITM-02980,,General,pcs,,0.00,0.00,0,5,yes
110*100,جنا مفارش سفرة ملونة 110*100سم,Colored 110*100 110x100,ITM-06842,,General,pcs,,0.00,0.00,0,5,yes
110*100,جنا مفارش سفرة 110*100سم,110*100 110x100,ITM-11835,,General,pcs,,0.00,0.00,0,5,yes
110*100,مفارش سفرة المها110*100سم,110*100 110x100,ITM-12054,,General,pcs,,0.00,0.00,0,5,yes
110*100,مفارش سفرة المها 110*100سم,110*100 110x100,ITM-16855,,General,pcs,,0.00,0.00,0,5,yes
110*140,سفرة اكل ابها110*140سم,110*140 110x140,ITM-07595,,General,pcs,,0.00,0.00,0,5,yes
110*58,سفرة جامبو 110*58,110*58 110x58,ITM-01514,,General,pcs,,0.00,0.00,0,5,yes
110*90,سفر ميمي جمبو 110*90سم,110*90 110x90,ITM-07593,,General,pcs,,0.00,0.00,0,5,yes
110*90,سفر اكل مصنع الجزيرة 110*90سم,110*90 110x90,ITM-09997,,General,pcs,,0.00,0.00,0,5,yes
110*95,مفارش الاصالة 110*95,110*95 110x95,ITM-13934,,General,pcs,,0.00,0.00,0,5,yes
12 Chicken,12 فرانكس دجاج,Chicken 12,ITM-18317,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
12*102,باكت تانج 12*102 كيوي,12*102 12x102,ITM-05070,,General,pcs,,0.00,0.00,0,5,yes
12*102,باكت تانج 12*102جرام تروبيكال كوكتل,12*102 12x102g,ITM-05071,,General,pcs,,0.00,0.00,0,5,yes
12*102,باكت تانج ليمون نعنع 12*102 جرام,12*102 12x102g,ITM-05072,,General,pcs,,0.00,0.00,0,5,yes
12*102,باكت تانج 12*102 جرام كيوي,12*102 12x102g,ITM-09799,,General,pcs,,0.00,0.00,0,5,yes
12*20,ياما بالكاكاو 12*20ج,12*20 12x20g,ITM-02720,,General,g,,0.00,0.00,0,5,yes
12*20,بلسم اخضر جاو 12*20ج,Conditioner Green 12*20 12x20g,ITM-06375,,Personal Care,g,,0.00,0.00,0,5,yes
12*20,فانيليا حلواني 12*20ج,12*20 12x20g,ITM-10275,,General,g,,0.00,0.00,0,5,yes
12*25,نول ليمون كاسترد12*25ج,12*25 12x25g,ITM-02944,,General,g,,0.00,0.00,0,5,yes
12*50,كريم كاراميل فوستر 12*50ج,12*50 12x50g,ITM-10292,,Personal Care,g,,0.00,0.00,0,5,yes
12*70,كريم كراميل رياض فود12*70ج,12*70 12x70g,ITM-10297,,Personal Care,g,,0.00,0.00,0,5,yes
12*72,بلفيتا كليجا مع الهيل12*72ج,12*72 12x72g,ITM-01955,,Spices & Seasonings,g,,0.00,0.00,0,5,yes
